Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1//3;PPA;CrsPA;PrgP;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;1//3;CPA;Mis;Dis;Rec;PrgR;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%
4;James Abankwah;IRL;DF,MF;Udinese;Serie A;20;2004;6;0;88;1.0;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;3;4;1;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06;1;0;0.0;1.02;0.00;0.00;;15.0;0;0;0;0.1;0.1;0.06;-0.1;-0.1;36;46;78.3;614;206;13;15;86.7;18;21;85.7;3;8;37.5;0;0.0;0.0;0.0;0;2;0;0;4;1;1.02;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;4;2;4;0;0;2;3;66.7;1;2;1;1;1;5;3;0;65;8;37;22;7;2;65;0;0;;0;;29;219;165;3;1;1;1;3;34;1;1;0;0;4;3;0;0;1;2;0;0;0;7;2;2;50.0
5;Keyliane Abdallah;FRA;FW;Marseille;Ligue 1;18;2006;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;2;2;100.0;41;0;0;0;;2;2;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;1;1;0;0;1;1;100.0;0;0;0;0;0;1;0;0;4;0;3;1;0;0;4;0;0;;0;;1;10;9;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
20;Federico Accornero;ITA;MF;Genoa;Serie A;20;2004;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;4;6;66.7;55;19;2;3;66.7;2;2;100.0;0;1;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;8;1;2;3;3;0;8;0;0;;0;;5;25;18;0;1;0;2;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0.0
22;Joshua Acheampong;ENG;DF;Chelsea; Premier League;18;2006;4;2;170;1.9;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;0;8;0;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.12;0.12;0.12;2;0;0.0;1.06;0.00;0.00;;8.9;0;0;0;0.2;0.2;0.11;-0.2;-0.2;104;124;83.9;2025;705;29;32;90.6;63;68;92.6;11;20;55.0;0;0.0;0.0;0.0;0;6;0;0;8;2;1.06;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;2;1;2;0;0;2;2;100.0;0;1;0;1;1;3;2;0;137;7;48;81;8;3;137;2;1;50.0;0;0.0;106;709;409;0;2;0;2;0;111;0;1;0;0;0;1;0;0;1;1;0;0;0;7;1;6;14.3
36;Vasilije Adžić;MNE;MF,FW;Juventus;Serie A;18;2006;6;0;42;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;3;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05;1;1;100.0;2.14;2.14;0.00;0.00;29.1;0;0;0;0.0;0.0;0.03;0.0;0.0;15;20;75.0;255;52;8;10;80.0;5;6;83.3;2;2;100.0;0;0.0;0.0;0.0;0;1;1;0;1;2;4.29;1;0;0;1;0;0;0;0.00;0;0;0;0;0;0;2;2;0;1;1;0;1;0.0;1;0;0;0;0;2;0;0;24;0;5;8;11;2;24;1;0;0.0;1;100.0;14;40;10;0;1;0;1;1;20;3;0;0;0;1;1;0;0;0;2;0;0;0;3;2;3;40.0
41;Asher Agbinone;ENG;MF;Crystal Palace; Premier League;18;2005;2;0;6;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.1;2;0;1;0.00;0.00;0.00;0.00;0.00;0.29;0.50;0.79;0.29;0.79;1;0;0.0;15.00;0.00;0.00;;26.3;0;0;0;0.0;0.0;0.02;0.0;0.0;2;3;66.7;32;0;1;1;100.0;1;2;50.0;0;0;;0;0.0;0.0;0.0;1;0;0;0;0;1;15.00;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;2;1;0;2;0;0;0;;0;0;0;0;0;2;0;0;8;0;0;2;6;0;8;2;0;0.0;1;50.0;5;53;23;2;0;0;0;1;5;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0.0
42;Jeremy Agbonifo;SWE;FW,MF;Lens;Ligue 1;18;2005;8;1;300;3.3;1;0;1;1;0;0;1;0;0.7;0.7;0.2;0.9;13;6;36;0.30;0.00;0.30;0.30;0.30;0.21;0.06;0.26;0.21;0.26;6;4;66.7;1.80;1.20;0.17;0.25;14.1;0;0;0;0.7;0.7;0.11;+0.3;+0.3;58;80;72.5;743;182;37;43;86.0;18;24;75.0;1;4;25.0;0;0.2;0.4;-0.2;3;4;4;2;6;8;2.40;7;1;0;0;0;0;0;0.00;0;0;0;0;0;0;7;6;6;0;1;3;7;42.9;4;2;1;1;1;8;0;1;131;1;22;39;72;16;131;20;9;45.0;10;50.0;84;627;283;13;2;10;11;6;92;36;1;0;0;14;5;2;7;1;6;0;0;0;9;1;9;10.0
51;Honest Ahanor;ITA;DF,MF;Genoa;Serie A;16;2008;6;3;270;3.0;0;0;0;0;0;0;0;0;0.5;0.5;0.1;0.6;3;3;7;0.00;0.00;0.00;0.00;0.00;0.17;0.04;0.21;0.17;0.21;3;1;33.3;1.00;0.33;0.00;0.00;10.5;0;0;0;0.5;0.5;0.17;-0.5;-0.5;51;76;67.1;868;299;24;32;75.0;24;34;70.6;3;7;42.9;0;0.1;0.1;-0.1;2;0;0;0;3;5;1.67;3;0;0;0;1;1;0;0.00;0;0;0;0;0;0;7;5;2;3;2;7;10;70.0;3;4;0;4;1;8;9;0;106;8;27;43;38;7;106;1;0;0.0;0;0.0;52;282;119;3;1;0;7;2;50;7;0;0;0;2;8;0;4;1;5;0;0;0;14;5;3;62.5
56;Ayman Aiki;FRA;FW,MF;Saint-Étienne;Ligue 1;19;2005;5;1;127;1.4;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;4;5;8;0.00;0.00;0.00;0.00;0.00;0.07;0.02;0.09;0.07;0.09;3;1;33.3;2.13;0.71;0.00;0.00;23.5;0;0;0;0.1;0.1;0.03;-0.1;-0.1;17;29;58.6;234;93;12;17;70.6;4;7;57.1;1;3;33.3;0;0.0;0.0;0.0;1;2;1;0;5;1;0.71;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;3;3;1;2;0;1;1;100.0;0;1;0;1;1;4;0;0;48;1;10;20;19;2;48;4;0;0.0;4;100.0;33;169;95;4;2;1;5;7;37;8;0;0;0;4;1;0;1;1;3;0;0;0;7;1;4;20.0
59;Junior Ajayi;CIV;FW;Hellas Verona;Serie A;19;2004;2;0;13;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;4;4;100.0;74;18;1;1;100.0;3;3;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;5;0;0;3;2;0;5;0;0;;0;;5;25;7;0;0;0;1;0;5;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;
