Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
22,Akor Adams,NGA,Attaquant,Sevilla,La Liga,25,2000,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,3,66.7,15,12,1,1,100.0,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,33.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,9,0.7,0,0,0,2,9,0,0.5,0,1,-1,-5.0,-4.86,0.1,0.5,-0.4,-2.09,-1.82,4,1,1,3,0,0,4,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3,1
81,Alfon,ESP,Attaquant,Celta Vigo,La Liga,25,1999,17,7,768,8.5,2,2,4,2,0,0,1,1,3.3,3.3,2.0,5.3,49,14,87,0.23,0.23,0.47,0.23,0.47,0.39,0.23,0.62,0.39,0.62,8.5,37,4.34,18,0,8,6,5,0,5,0.59,3,0,0,1,1,0,139,193,72.0,2018,290,81,93,87.1,41,59,69.5,8,16,50.0,2,2.0,1.5,0.0,14,5,4,1,14,0,13,20,5,20,4,2,1,0,0,24,1,8,11.1,2,29,10,34.5,3.4,1.17,0.07,0.2,16.9,0,0,0,0.11,-1.3,-1.3,4,2,1,2,1,2,7,28.6,5,5,0,5,4,8,5,1,45,30.5,7,71,1,10,27,8,1.06,15,15,0,0.0,0.0,14.0,10.5,3.5,0.41,0.15,292,1,25,78,195,59,292,28,13,46.4,13,46.4,203,1592,1006,49,27,21,16,12,229,87
85,Tadeo Allende,ARG,Attaquant,Celta Vigo,La Liga,26,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,33.3,7,1,1,2,50.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,1,2,7,1.5,0,1,-1,-45.0,-45.04,0.0,0.0,0.0,0.0,-0.31,4,1,1,3,0,0,4,1,0,0.0,1,100.0,3,13,4,0,0,0,0,0,3,0
90,Iker Almena,ESP,Attaquant,Girona,La Liga,20,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.0,1.87,1.87,0.0,1.87,0.06,1.27,1.33,0.06,1.33,0.5,3,5.63,2,0,1,0,0,0,2,3.75,1,0,1,0,0,0,23,32,71.9,328,34,13,14,92.9,10,14,71.4,0,1,0.0,1,0.7,0.4,0.3,2,0,0,0,2,0,0,1,0,4,0,0,0,0,0,2,0,0,0.0,0,1,0,0.0,1.87,0.0,0.0,0.0,24.7,0,0,0,0.03,0.0,0.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,24,1.9,0,0,0,2,24,0,0.5,1,1,0,0.0,0.18,1.1,1.0,0.1,0.24,0.34,39,2,4,6,30,1,39,3,2,66.7,1,33.3,32,233,152,6,3,1,1,0,31,10
99,Julián Álvarez,ARG,Attaquant,Atlético Madrid,La Liga,25,2000,28,22,1817,20.2,11,2,13,10,1,1,4,0,8.8,8.1,2.9,11.0,60,57,120,0.54,0.1,0.64,0.5,0.59,0.44,0.14,0.58,0.4,0.54,20.2,69,3.42,47,5,6,7,1,3,7,0.35,5,0,0,1,0,1,491,667,73.6,7116,1664,280,345,81.2,150,185,81.1,30,66,45.5,2,2.9,3.2,-0.9,25,27,23,4,57,0,22,3,7,37,0,14,0,0,0,56,12,26,31.6,11,51,24,47.1,2.53,1.19,0.2,0.42,17.3,2,1,1,0.16,2.2,1.9,20,14,5,6,9,6,23,26.1,17,13,0,13,0,20,9,1,65,72.1,22,75,7,6,30,0,2.0,31,11,20,0.99,0.48,29.6,19.6,10.0,0.49,-0.65,858,7,84,350,436,77,857,42,24,57.1,17,40.5,520,3040,1472,60,35,19,43,32,620,120
105,Amath,SEN,Attaquant,Valladolid,La Liga,28,1996,9,5,316,3.5,0,1,1,0,0,0,1,0,0.4,0.4,0.2,0.6,7,11,21,0.0,0.28,0.28,0.0,0.28,0.1,0.06,0.16,0.1,0.16,3.5,10,2.84,8,0,1,1,0,0,1,0.28,1,0,0,0,0,0,63,83,75.9,981,248,36,40,90.0,18,22,81.8,6,11,54.5,1,0.2,0.1,0.8,4,4,3,1,11,0,3,5,2,4,2,0,0,0,0,11,1,4,20.0,0,5,1,20.0,1.42,0.28,0.0,0.0,13.7,0,0,0,0.07,-0.4,-0.4,1,0,1,0,0,1,6,16.7,5,7,1,6,2,3,3,0,35,12.5,5,57,0,4,7,13,0.78,2,6,-4,-1.14,0.53,3.7,4.7,-1.0,-0.28,0.73,126,3,18,54,55,10,126,11,4,36.4,7,63.6,81,415,198,7,5,2,10,3,93,21
122,Marcos André,BRA,Attaquant,Valladolid,La Liga,28,1996,20,14,1174,13.0,1,2,3,1,0,0,5,0,2.7,2.7,0.8,3.5,11,16,38,0.08,0.15,0.23,0.08,0.23,0.2,0.06,0.27,0.2,0.27,13.0,19,1.46,15,0,3,0,1,0,1,0.08,1,0,0,0,0,0,136,207,65.7,2337,388,77,101,76.2,42,65,64.6,14,18,77.8,2,0.8,0.3,1.2,9,13,3,0,16,0,12,28,5,1,3,6,0,0,0,43,46,44,51.1,1,22,2,9.1,1.69,0.15,0.05,0.5,14.0,0,0,0,0.12,-1.7,-1.7,10,6,3,5,2,5,13,38.5,8,18,2,16,3,13,10,0,59,46.6,14,75,2,6,20,6,0.45,11,32,-21,-1.61,-0.01,10.9,22.8,-11.9,-0.91,0.02,369,13,45,208,126,32,369,41,17,41.5,18,43.9,195,1010,345,11,9,5,40,23,253,38
128,Leandro Antonetti,PUR,Attaquant,Sevilla,La Liga,22,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,100.0,10,6,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,11,0.4,0,0,0,1,11,3,1.0,0,0,0,0.0,0.18,0.3,0.2,0.1,0.67,0.96,2,0,0,1,1,0,2,0,0,0.0,0,0.0,1,12,4,0,0,0,0,0,1,1
132,Antony,BRA,Attaquant,Betis,La Liga,25,2000,7,7,591,6.6,2,2,4,2,0,0,1,1,0.9,0.9,2.2,3.1,31,23,59,0.3,0.3,0.61,0.3,0.61,0.13,0.34,0.47,0.13,0.47,6.6,38,5.79,28,3,2,2,3,0,6,0.91,4,0,1,1,0,0,264,329,80.2,3590,892,166,190,87.4,66,83,79.5,14,26,53.8,2,2.2,1.4,-0.2,20,15,17,5,23,0,5,8,0,16,5,6,1,0,0,32,3,6,33.3,2,17,5,29.4,2.59,0.76,0.12,0.4,18.9,0,0,0,0.05,1.1,1.1,13,6,3,5,5,2,11,18.2,9,8,0,8,5,18,7,1,84,23.5,7,84,4,0,0,0,2.29,15,8,7,1.07,1.25,13.8,7.7,6.1,0.94,0.83,429,3,47,152,235,26,429,21,7,33.3,14,66.7,268,1701,1027,31,27,10,24,11,322,59
143,Adu Ares,ESP,Attaquant,Athletic Club,La Liga,23,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,9,55.6,64,15,3,5,60.0,2,3,66.7,0,0,0.0,0,0.0,0.0,0.0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,19,0.8,0,0,0,1,19,2,0.0,0,1,-1,-4.74,-5.56,0.1,0.3,-0.2,-0.73,-1.35,11,0,2,3,6,1,11,1,0,0.0,1,100.0,8,44,29,1,1,0,0,2,11,2
