Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
2,Rodrigo Abajas,ESP,Défenseur,Valencia,La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,0,1,0,0.0,1.38,0.0,0.0,0.0,24.5,0,0,0,0.07,-0.1,-0.1,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,65,2.6,1,65,0,0,0,8,0.0,1,2,-1,-1.38,-0.87,1.4,0.7,0.7,0.93,1.28,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3
10,Abel,ESP,Défenseur,Osasuna,La Liga,24,2000,26,14,1508,16.8,2,0,2,2,0,0,2,0,0.4,0.4,0.8,1.2,38,57,61,0.12,0.0,0.12,0.12,0.12,0.02,0.05,0.07,0.02,0.07,16.8,22,1.31,18,1,1,0,1,1,2,0.12,0,0,1,0,0,1,549,766,71.7,9196,3858,276,312,88.5,217,281,77.2,45,124,36.3,0,0.8,1.0,-0.8,10,42,9,7,57,0,15,20,1,62,13,26,0,0,0,84,16,12,57.1,2,9,3,33.3,0.54,0.18,0.22,0.67,25.1,0,0,0,0.04,1.6,1.6,38,26,15,16,7,22,37,59.5,15,22,2,20,13,51,46,2,58,62.1,14,86,9,12,26,1,1.27,18,28,-10,-0.6,-0.99,16.1,25.6,-9.5,-0.57,-0.82,944,48,286,432,235,11,944,25,13,52.0,9,36.0,422,2408,1289,38,32,4,19,10,460,61
16,Abdel Abqar,MAR,Défenseur,Alavés,La Liga,26,1999,26,26,2208,24.5,0,1,1,0,0,0,12,0,0.8,0.8,0.2,1.0,15,76,4,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,24.5,23,0.94,18,0,0,2,1,2,3,0.12,2,0,0,0,1,0,648,860,75.3,14285,5114,166,179,92.7,378,413,91.5,100,242,41.3,1,0.2,0.4,0.8,7,58,9,2,76,0,44,29,2,5,37,22,1,2,0,78,37,32,53.6,0,10,1,10.0,0.41,0.04,0.0,0.0,7.4,0,0,0,0.08,-0.8,-0.8,35,22,23,11,1,20,31,64.5,11,23,16,7,37,72,132,1,85,87.6,26,85,22,0,0,0,1.04,29,38,-9,-0.37,-0.08,29.3,30.9,-1.6,-0.07,0.46,1142,153,604,494,54,22,1142,4,3,75.0,1,25.0,571,3334,1910,15,7,0,16,2,591,4
46,Lorenzo Aguado,ESP,Défenseur,Real Madrid,La Liga,22,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,100.0,34,0,0,0,0.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,3,0.2,0,0,0,2,3,6,3.0,0,0,0,0.0,-1.15,0.2,0.0,0.2,3.53,2.66,3,0,3,0,0,0,3,0,0,0.0,0,0.0,1,2,0,0,0,0,0,1,1,0
47,Nayef Aguerd,MAR,Défenseur,Real Sociedad,La Liga,28,1996,20,20,1670,18.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,71,1,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.14,0.13,0.14,18.6,15,0.81,12,1,0,2,0,0,1,0.05,1,0,0,0,0,0,1132,1295,87.4,21950,7836,423,446,94.8,562,601,93.5,134,212,63.2,0,0.1,0.3,-0.1,5,84,3,1,71,0,11,19,0,2,13,24,0,1,0,67,60,30,66.7,0,15,5,33.3,0.81,0.27,0.0,0.0,11.5,0,0,0,0.16,-2.4,-2.4,30,24,17,12,1,12,18,66.7,6,21,15,6,13,43,88,0,84,66.3,20,84,16,0,0,3,1.5,18,15,3,0.16,1.01,25.0,18.6,6.4,0.34,1.05,1492,127,660,782,53,16,1492,10,5,50.0,2,20.0,948,5736,3573,26,18,0,7,3,1064,1
53,Joseph Aidoo,GHA,Défenseur,Valladolid,La Liga,29,1995,3,3,244,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1,0.37,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,138,163,84.7,2715,1065,41,44,93.2,84,89,94.4,12,28,42.9,0,0.0,0.0,0.0,0,7,1,0,3,0,0,2,0,0,3,3,0,0,0,13,1,1,50.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3,3,2,1,0,2,2,100.0,0,0,0,0,3,6,10,0,81,9.7,3,81,2,0,0,1,0.0,1,9,-8,-2.95,-1.49,1.2,5.4,-4.1,-1.53,-0.67,183,24,122,62,0,0,183,0,0,0.0,0,0.0,122,560,282,0,0,0,0,0,135,0
54,Joseph Aidoo,GHA,Défenseur,Celta Vigo,La Liga,29,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,7,85.7,126,81,1,1,100.0,5,5,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,2,0.1,0,0,0,1,2,13,3.0,1,0,1,45.0,45.04,0.3,0.0,0.3,14.69,14.4,8,0,4,4,0,0,8,0,0,0.0,0,0.0,7,9,8,0,0,0,0,1,6,0
72,David Alaba,AUT,Défenseur,Real Madrid,La Liga,32,1992,5,3,258,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,159,177,89.8,2669,1127,72,72,100.0,72,74,97.3,10,23,43.5,0,0.0,0.0,0.0,0,8,0,0,5,0,2,0,0,1,4,0,0,0,0,6,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0.0,0,5,5,0,4,5,5,0,52,10.2,3,73,1,2,19,2,2.4,5,3,2,0.7,-0.5,5.5,3.4,2.1,0.73,-0.16,193,34,113,75,6,2,193,0,0,0.0,0,0.0,139,714,382,2,1,0,1,0,157,2
74,Raúl Albiol,ESP,Défenseur,Villarreal,La Liga,39,1985,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,13.2,5,0.38,4,0,0,1,0,0,3,0.23,3,0,0,0,0,0,727,813,89.4,14582,6006,213,225,94.7,433,463,93.5,76,115,66.1,0,0.0,0.1,0.0,0,26,1,0,34,0,11,6,0,0,6,9,0,2,1,44,29,14,67.4,0,2,0,0.0,0.15,0.0,0.0,0.0,9.6,0,0,0,0.05,-0.1,-0.1,10,9,9,1,0,6,10,60.0,4,10,9,1,6,16,69,1,79,48.9,14,84,12,1,6,12,1.73,26,20,6,0.45,0.09,22.3,13.8,8.5,0.64,-0.01,915,157,533,369,14,3,915,0,0,0.0,0,0.0,514,2346,1226,3,1,0,3,1,652,0
77,Omar Alderete,PAR,Défenseur,Getafe,La Liga,28,1996,25,25,2220,24.7,0,0,0,0,0,0,7,0,0.7,0.7,0.9,1.6,23,86,5,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,24.7,28,1.14,21,1,1,3,1,1,4,0.16,2,0,0,1,1,0,565,839,67.3,13190,6034,146,181,80.7,292,364,80.2,124,260,47.7,0,0.9,0.8,-0.9,10,97,10,1,86,0,25,9,6,4,32,21,1,3,0,88,74,40,64.9,0,27,7,25.9,1.09,0.28,0.0,0.0,21.9,5,0,0,0.03,-0.7,-0.7,35,21,24,9,2,16,21,76.2,5,29,20,9,32,67,157,1,89,88.1,25,89,21,0,0,0,1.4,25,21,4,0.16,0.76,23.4,30.2,-6.9,-0.28,0.15,1179,147,505,588,94,29,1179,20,12,60.0,8,40.0,471,3233,2095,23,17,2,22,7,477,5
