Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
33,Adrián,ESP,Gardien,Betis,La Liga,38,1987,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,236,301,78.4,6039,4090,36,36,100.0,131,134,97.8,68,128,53.1,0,0.0,0.0,0.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,90,32.1,9,90,9,0,0,17,2.27,20,12,8,0.89,1.15,14.9,10.4,4.5,0.5,0.3,310,261,309,1,0,0,310,0,0,0.0,0,0.0,187,901,593,0,0,0,0,0,159,0
42,Julen Agirrezabala,ESP,Gardien,Athletic Club,La Liga,24,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,3,0.22,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,86,47.9,14,86,12,0,0,12,2.21,22,9,13,0.97,0.35,19.0,11.0,8.0,0.6,-0.02,437,357,436,1,0,0,437,0,0,0.0,0,0.0,237,1238,682,0,0,0,1,0,211,0
253,Augusto Batalla,ARG,Gardien,Rayo Vallecano,La Liga,28,1996,23,23,2070,23.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4,0.17,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,565,848,66.6,16337,11912,90,91,98.9,295,298,99.0,179,453,39.5,0,0.0,0.1,0.0,0,18,1,0,2,0,0,3,0,0,0,1,0,0,0,36,3,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3,1,3,0,0,3,4,75.0,1,0,0,0,0,3,7,3,90,82.1,23,90,23,0,0,3,1.3,25,25,0,0.0,0.0,30.7,25.8,4.9,0.21,0.81,903,743,888,15,0,0,903,5,5,100.0,0,0.0,540,2556,1559,0,0,0,1,0,448,0
464,Cárdenas,ESP,Gardien,Rayo Vallecano,La Liga,27,1997,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,0.2,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,74,140,52.9,2459,1922,6,6,100.0,40,41,97.6,28,92,30.4,0,0.0,0.0,0.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,90,17.9,5,90,5,0,0,23,1.4,6,6,0,0.0,0.0,3.6,6.7,-3.0,-0.6,-0.81,151,133,150,1,0,0,151,0,0,0.0,0,0.0,70,361,193,0,0,0,0,0,54,0
541,Jasper Cillessen,NED,Gardien,Las Palmas,La Liga,35,1989,26,26,2309,25.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,671,988,67.9,17593,13078,144,146,98.6,338,345,98.0,187,492,38.0,0,0.0,0.0,0.0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,20,2,2,50.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,11,2,89,91.6,26,89,25,0,0,0,0.96,31,42,-11,-0.43,1.28,25.0,47.7,-22.7,-0.89,-0.08,1064,853,1051,13,0,0,1064,0,0,0.0,0,0.0,599,3068,2031,0,0,0,4,0,503,0
571,Diego Conde,ESP,Gardien,Villarreal,La Liga,26,1998,21,21,1872,20.8,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.05,0.05,0.0,0.05,0.0,0.01,0.01,0.0,0.01,20.8,3,0.14,1,2,0,0,0,0,1,0.05,1,0,0,0,0,0,486,606,80.2,11767,7703,114,115,99.1,266,272,97.8,103,215,47.9,1,0.2,0.0,0.8,2,7,1,0,0,0,0,1,0,0,1,2,0,0,0,27,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2,2,2,0,0,2,4,50.0,2,0,0,0,1,3,9,2,89,77.0,21,89,20,0,0,1,1.71,37,31,6,0.29,-0.52,35.4,23.2,12.1,0.58,-0.28,659,569,654,5,0,0,659,0,0,0.0,0,0.0,382,1923,1132,0,0,0,1,0,330,0
604,Thibaut Courtois,BEL,Gardien,Real Madrid,La Liga,32,1992,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3,0.12,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,709,837,84.7,16122,10020,138,139,99.3,454,456,99.6,116,240,48.3,0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,42,7,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,12,1,90,85.7,24,90,24,0,0,0,2.13,51,22,29,1.21,0.46,46.5,24.0,22.6,0.94,0.49,892,783,889,3,0,0,892,1,0,0.0,1,100.0,540,2573,1648,0,0,0,0,0,561,0
710,Stole Dimitrievski,MKD,Gardien,Valencia,La Liga,31,1993,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,68,133,51.1,2105,1516,6,6,100.0,35,37,94.6,27,90,30.0,0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,90,14.3,4,90,4,0,0,24,0.5,4,6,-2,-0.5,0.04,5.6,6.9,-1.3,-0.33,-0.02,143,96,135,9,0,0,143,0,0,0.0,0,0.0,68,362,240,0,0,0,1,0,52,0
728,Marko Dmitrović,SRB,Gardien,Leganés,La Liga,33,1992,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3,0.14,0,3,0,0,0,0,0,0.0,0,0,0,0,0,0,331,741,44.7,12251,10260,41,41,100.0,123,125,98.4,167,570,29.3,0,0.0,0.1,0.0,0,21,0,0,1,0,1,6,0,0,0,1,0,1,0,24,6,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,20,3,90,78.6,22,90,22,0,0,6,1.0,23,36,-13,-0.59,0.08,19.3,37.0,-17.7,-0.8,-0.11,806,659,798,8,0,0,806,1,1,100.0,0,0.0,375,2221,1215,0,0,0,1,0,252,0
864,Álvaro Fernández,ESP,Gardien,Sevilla,La Liga,26,1998,8,7,657,7.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,7.3,2,0.27,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,185,293,63.1,4960,3505,44,44,100.0,92,93,98.9,49,155,31.6,0,0.1,0.0,-0.1,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,82,26.1,7,90,7,1,27,20,1.25,8,12,-4,-0.55,-0.5,6.8,9.8,-3.0,-0.41,-0.17,316,242,314,2,0,0,316,0,0,0.0,0,0.0,168,738,326,0,0,0,0,0,187,0
