Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
1,Max Aarons,ENG,Milieu,Valencia,La Liga,25,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,14,18,77.8,222,48,6,7,85.7,6,9,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,4,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,31,1.2,0,0,0,1,31,8,0.0,0,2,-2,-5.81,-5.34,0.9,0.6,0.4,1.1,1.43,24,0,4,4,16,0,24,2,1,50.0,0,0.0,10,28,10,0,0,0,1,1,11,3
11,Nabil Aberdin,FRA,Milieu,Getafe,La Liga,22,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,2.9,3,1.03,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,0,2,0,0.0,0.68,0.0,0.0,0.0,31.2,0,0,0,0.02,0.0,0.0,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0,38,10.4,4,63,1,3,4,7,1.14,1,2,-1,-0.34,-0.46,1.8,1.6,0.2,0.07,0.41,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2
43,Lucien Agoume,FRA,Milieu,Sevilla,La Liga,23,2002,26,15,1336,14.8,0,0,0,0,0,0,4,1,0.4,0.4,0.6,1.0,16,65,14,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.07,0.02,0.07,14.8,31,2.09,29,0,1,1,0,0,4,0.27,3,0,0,1,0,0,633,772,82.0,9726,2925,349,383,91.1,223,265,84.2,44,79,55.7,0,0.6,0.6,-0.6,9,63,5,1,65,0,28,3,2,6,25,13,0,1,0,86,27,26,50.9,0,7,0,0.0,0.47,0.0,0.0,0.0,14.7,0,0,0,0.05,-0.4,-0.4,37,13,11,22,4,15,22,68.2,7,19,7,12,25,62,18,0,51,53.0,15,82,7,11,10,1,1.27,17,24,-7,-0.47,-0.62,13.9,22.6,-8.7,-0.58,-0.64,914,37,230,569,126,11,914,14,11,78.6,3,21.4,406,1857,830,16,13,2,18,6,588,14
45,Álvaro Aguado,ESP,Milieu,Espanyol,La Liga,28,1996,12,4,407,4.5,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.5,10,25,2,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.1,0.11,4.5,13,2.87,12,0,0,1,0,0,0,0.0,0,0,0,0,0,0,162,211,76.8,3124,983,53,69,76.8,83,99,83.8,23,33,69.7,0,0.0,0.2,0.0,2,22,7,3,25,0,5,7,0,12,3,2,0,0,0,31,3,2,60.0,0,9,0,0.0,1.99,0.0,0.0,0.0,23.4,1,0,0,0.05,-0.4,-0.4,4,2,2,2,0,2,8,25.0,6,6,1,5,3,7,5,1,34,16.7,4,71,0,8,15,13,0.67,4,7,-3,-0.66,-0.22,4.3,7.6,-3.3,-0.72,0.15,261,6,61,142,61,3,261,7,4,57.1,2,28.6,150,1160,583,10,6,1,9,3,167,2
64,Ilias Akhomach,MAR,Milieu,Villarreal,La Liga,20,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.0,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,6.5,29,4.38,17,0,5,1,6,0,1,0.15,0,0,0,0,1,0,136,185,73.5,2161,534,76,88,86.4,46,63,73.0,8,14,57.1,0,1.0,1.7,-1.0,9,5,8,2,12,0,9,21,1,18,3,7,0,0,0,30,6,6,50.0,1,17,6,35.3,2.62,0.92,0.06,0.17,23.3,0,0,0,0.03,0.4,0.4,12,7,4,4,4,6,12,50.0,6,8,0,8,3,15,13,0,53,24.0,7,69,0,4,25,1,1.91,8,7,1,0.15,-0.33,8.7,6.1,2.6,0.4,-0.33,293,8,44,89,163,29,293,43,19,44.2,17,39.5,200,1310,759,30,18,20,15,10,209,64
78,Carles Aleñá,ESP,Milieu,Getafe,La Liga,27,1998,10,5,452,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,12,10,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,5.0,8,1.6,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0,93,117,79.5,1504,299,45,55,81.8,38,44,86.4,6,11,54.5,0,0.1,0.1,-0.1,3,9,3,1,12,0,8,11,2,6,0,3,0,0,0,12,10,9,52.6,0,5,1,20.0,1.0,0.2,0.0,0.0,13.7,0,0,0,0.18,-0.9,-0.9,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0,45,17.9,5,67,0,5,23,7,0.8,2,4,-2,-0.4,-0.57,4.0,7.7,-3.7,-0.74,-0.54,163,5,26,84,56,10,163,4,3,75.0,1,25.0,88,427,169,3,2,1,3,6,98,10
79,Carles Aleñá,ESP,Milieu,Alavés,La Liga,27,1998,5,5,446,5.0,0,2,2,0,0,0,1,0,0.4,0.4,0.6,1.0,12,29,18,0.0,0.4,0.4,0.0,0.4,0.09,0.12,0.21,0.09,0.21,5.0,24,4.84,13,5,2,1,3,0,3,0.61,2,1,0,0,0,0,156,210,74.3,2447,680,86,95,90.5,53,70,75.7,13,24,54.2,2,0.6,0.6,1.4,9,18,6,2,29,0,6,12,0,20,0,6,0,0,0,16,6,3,66.7,0,8,2,25.0,1.61,0.4,0.0,0.0,20.8,0,0,0,0.05,-0.4,-0.4,10,6,4,3,3,4,9,44.4,5,5,0,5,0,10,1,0,89,17.7,5,89,4,0,0,0,1.2,7,6,1,0.2,0.68,7.7,7.8,-0.1,-0.02,0.12,264,0,30,134,101,10,264,15,6,40.0,3,20.0,143,664,369,12,10,2,10,3,187,18
89,Domingos André Ribeiro Almeida,POR,Milieu,Valencia,La Liga,24,2000,25,16,1396,15.5,0,1,1,0,0,0,1,0,0.7,0.7,1.9,2.6,30,99,58,0.0,0.06,0.06,0.0,0.06,0.04,0.13,0.17,0.04,0.17,15.5,59,3.81,39,10,1,3,4,2,2,0.13,2,0,0,0,0,0,552,652,84.7,8875,2316,284,304,93.4,196,225,87.1,49,79,62.0,1,1.9,3.3,-0.9,29,66,14,3,99,0,21,18,2,41,6,23,0,0,0,60,3,13,18.8,0,15,4,26.7,0.97,0.26,0.0,0.0,23.1,2,0,0,0.05,-0.7,-0.7,38,23,14,16,8,11,24,45.8,13,14,1,13,6,44,10,1,56,55.4,16,75,4,9,22,2,1.08,19,23,-4,-0.26,0.62,18.4,22.6,-4.2,-0.27,0.09,804,11,101,415,296,34,804,35,15,42.9,13,37.1,461,2386,1191,30,30,8,25,31,580,58
96,Sergi Altimira,ESP,Milieu,Betis,La Liga,23,2001,24,17,1598,17.8,0,1,1,0,0,0,3,0,1.6,1.5,1.5,3.1,18,79,24,0.0,0.06,0.06,0.0,0.06,0.09,0.09,0.18,0.09,0.17,17.8,43,2.42,34,0,3,1,1,4,1,0.06,1,0,0,0,0,0,877,996,88.1,13924,3238,439,478,91.8,346,376,92.0,58,77,75.3,1,1.5,0.9,-0.5,19,78,10,0,79,0,29,31,0,4,17,31,1,0,0,94,9,16,36.0,0,18,3,16.7,1.01,0.17,0.0,0.0,20.5,0,0,0,0.08,-1.6,-1.5,52,31,13,33,6,30,48,62.5,18,24,1,23,17,69,33,1,67,63.4,17,80,7,7,35,4,1.67,27,27,0,0.0,-0.29,29.9,21.6,8.2,0.46,0.45,1207,36,243,753,219,15,1207,20,13,65.0,7,35.0,705,2929,1244,18,10,0,20,16,841,24
98,Hugo Álvarez,ESP,Milieu,Celta Vigo,La Liga,21,2003,22,14,1387,15.4,4,2,6,4,0,0,5,0,2.3,2.3,0.8,3.1,66,48,143,0.26,0.13,0.39,0.26,0.39,0.15,0.05,0.2,0.15,0.2,15.4,39,2.53,31,0,5,3,0,0,7,0.45,5,0,2,0,0,0,698,887,78.7,10624,2875,376,432,87.0,278,335,83.0,27,52,51.9,2,0.8,1.6,1.2,15,29,13,3,48,0,22,14,2,28,7,9,0,1,0,70,5,5,50.0,4,22,8,36.4,1.43,0.52,0.18,0.5,15.9,1,0,0,0.1,1.7,1.7,23,9,11,10,2,9,17,52.9,8,18,1,17,7,30,25,1,63,55.0,14,82,9,8,30,2,1.27,24,26,-2,-0.13,-0.29,23.1,16.7,6.4,0.41,0.23,1066,21,235,421,418,70,1066,65,28,43.1,36,55.4,642,3469,2029,66,36,36,28,11,714,143
