Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
4,Keyliane Abdallah,FRA,Attaquant,Marseille,Ligue 1,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,100.0,41,0,0,0,0.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,3,0.1,0,0,0,1,3,7,3.0,0,0,0,0.0,-0.77,0.0,0.0,0.0,-0.49,-0.95,4,0,3,1,0,0,4,0,0,0.0,0,0.0,1,10,9,1,0,0,1,0,3,0
13,Matthis Abline,FRA,Attaquant,Nantes,Ligue 1,21,2003,26,25,2079,23.1,7,1,8,6,1,1,2,0,7.2,6.4,2.8,9.2,54,36,131,0.3,0.04,0.35,0.26,0.3,0.31,0.12,0.43,0.28,0.4,23.1,50,2.16,34,0,8,5,3,0,5,0.22,3,0,2,0,0,0,272,399,68.2,3964,716,147,196,75.0,91,120,75.8,15,29,51.7,1,2.8,2.8,-1.8,20,18,14,4,36,0,22,45,5,26,2,4,0,0,0,69,41,53,43.6,7,60,22,36.7,2.6,0.95,0.1,0.27,14.8,0,1,1,0.11,-0.2,-0.4,10,4,2,4,4,3,9,33.3,6,10,0,10,2,12,27,1,80,88.8,25,82,8,1,23,0,1.04,24,33,-9,-0.39,1.33,27.7,34.8,-7.0,-0.3,0.96,665,25,59,281,340,114,664,74,31,41.9,40,54.1,457,2850,1383,54,32,33,75,49,525,131
23,Akor Adams,NGA,Attaquant,Montpellier,Ligue 1,25,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,11.9,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0,112,179,62.6,1540,198,72,101,71.3,32,49,65.3,3,10,30.0,1,1.0,0.1,0.0,12,8,0,0,6,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9,3,26,12,46.2,2.18,1.0,0.12,0.25,13.3,0,0,0,0.16,-1.3,-1.3,4,3,1,2,1,3,4,75.0,1,2,1,1,1,5,5,1,72,46.8,13,79,7,2,22,1,0.53,12,29,-17,-1.42,0.13,12.8,23.6,-10.8,-0.9,-0.21,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45
41,Jeremy Agbonifo,SWE,Attaquant,Lens,Ligue 1,19,2005,5,1,192,2.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,7,2,18,0.47,0.0,0.47,0.47,0.47,0.24,0.03,0.27,0.24,0.27,2.1,2,0.94,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,25,38,65.8,293,33,16,20,80.0,7,9,77.8,0,2,0.0,0,0.1,0.1,-0.1,1,1,1,1,2,0,7,3,2,3,1,3,0,0,0,7,0,5,0.0,1,3,2,66.7,1.41,0.94,0.33,0.5,13.0,0,0,0,0.17,0.5,0.5,4,3,4,0,0,2,3,66.7,1,1,0,1,1,5,0,1,38,8.2,1,45,0,4,37,1,1.2,2,5,-3,-1.41,-1.62,3.4,6.4,-2.9,-1.37,-1.7,66,0,14,22,32,10,66,11,5,45.5,6,54.5,41,325,126,7,1,6,5,4,44,18
55,Ayman Aiki,FRA,Attaquant,Saint-Étienne,Ligue 1,19,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,8,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,1.4,1,0.71,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,29,58.6,234,93,12,17,70.6,4,7,57.1,1,3,33.3,0,0.0,0.0,0.0,1,2,1,0,5,0,4,1,0,1,1,3,0,0,0,7,1,4,20.0,0,3,1,33.3,2.13,0.71,0.0,0.0,23.5,0,0,0,0.03,-0.1,-0.1,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0,25,5.5,1,58,0,4,17,3,0.0,0,3,-3,-2.13,-0.92,0.3,3.3,-3.1,-2.17,-1.05,48,1,10,20,19,2,48,4,0,0.0,4,100.0,33,169,95,4,2,1,5,7,37,8
60,Ludovic Ajorque,FRA,Attaquant,Brest,Ligue 1,31,1994,23,21,1843,20.5,10,1,11,10,0,1,4,0,8.1,7.3,2.4,9.7,8,34,93,0.49,0.05,0.54,0.49,0.54,0.4,0.12,0.51,0.36,0.47,20.5,44,2.15,37,0,2,2,2,1,4,0.2,1,0,1,1,1,0,331,487,68.0,4837,729,189,264,71.6,103,141,73.0,22,30,73.3,1,2.4,1.5,-1.4,27,27,10,0,34,0,45,18,11,5,4,15,2,0,0,44,101,90,52.9,10,37,18,48.6,1.81,0.88,0.27,0.56,12.0,0,0,1,0.2,1.9,2.7,19,15,3,7,9,6,21,28.6,15,17,4,13,4,23,17,0,80,78.8,21,85,14,2,28,0,1.43,30,31,-1,-0.05,0.13,30.6,32.5,-2.0,-0.1,0.73,669,22,59,319,296,96,668,15,6,40.0,9,60.0,302,978,357,8,10,3,45,8,476,93
66,Maghnes Akliouche,FRA,Attaquant,Monaco,Ligue 1,23,2002,24,20,1787,19.9,4,6,10,3,1,1,2,0,6.1,5.3,5.7,11.0,94,144,173,0.2,0.3,0.5,0.15,0.45,0.31,0.29,0.6,0.27,0.56,19.9,90,4.53,67,1,8,6,5,3,14,0.71,12,0,0,2,0,0,773,949,81.5,10693,3273,473,523,90.4,234,291,80.4,34,55,61.8,6,5.7,6.6,0.3,37,69,52,2,144,0,25,25,8,36,11,23,0,0,0,101,4,13,23.5,4,43,10,23.3,2.17,0.5,0.07,0.3,16.6,1,1,1,0.12,-2.1,-2.3,40,23,11,17,12,15,34,44.1,19,16,0,16,11,51,9,0,74,76.4,20,85,15,4,22,0,1.79,41,27,14,0.71,-0.11,46.1,24.5,21.7,1.09,-0.3,1217,16,118,506,611,122,1216,72,34,47.2,36,50.0,785,4846,2658,94,77,36,64,36,893,173
71,Chuba Akpom,ENG,Attaquant,Lille,Ligue 1,29,1995,6,3,316,3.5,2,0,2,2,0,1,0,0,2.6,1.8,0.3,2.1,1,2,20,0.57,0.0,0.57,0.57,0.57,0.75,0.09,0.84,0.52,0.61,3.5,9,2.56,4,0,1,3,1,0,1,0.28,0,0,0,1,0,0,35,49,71.4,425,70,21,27,77.8,6,7,85.7,2,3,66.7,0,0.3,0.3,-0.3,3,1,1,0,2,0,4,8,1,1,0,1,0,0,0,6,7,5,58.3,2,11,7,63.6,3.13,1.99,0.18,0.29,12.6,0,0,1,0.17,-0.6,0.2,2,1,0,1,1,1,2,50.0,1,3,0,3,0,2,2,0,53,13.5,3,73,0,3,32,0,1.5,5,7,-2,-0.57,-1.19,6.4,5.8,0.6,0.17,-0.16,80,3,10,34,37,19,79,6,3,50.0,2,33.3,37,174,52,1,2,1,7,1,55,20
82,Mohamed Ali Cho,FRA,Attaquant,Nice,Ligue 1,21,2004,22,19,1448,16.1,3,4,7,3,0,0,2,0,3.7,3.7,3.4,7.2,71,50,113,0.19,0.25,0.44,0.19,0.44,0.23,0.21,0.45,0.23,0.45,16.1,54,3.36,41,3,4,1,5,0,11,0.68,8,0,1,1,1,0,293,417,70.3,4160,1064,182,219,83.1,89,125,71.2,13,32,40.6,4,3.4,3.1,0.6,27,18,29,4,50,0,12,34,9,42,4,8,0,0,0,60,9,22,29.0,3,34,15,44.1,2.11,0.93,0.09,0.2,17.8,0,0,0,0.11,-0.7,-0.7,12,8,4,4,4,4,11,36.4,7,15,1,14,4,16,8,0,66,61.9,19,73,0,3,20,0,1.86,32,19,13,0.81,0.2,28.0,16.7,11.2,0.7,0.12,627,9,69,263,311,69,627,60,18,30.0,36,60.0,394,2798,1664,71,32,29,59,25,472,113
86,Jim Allevinah,GAB,Attaquant,Angers,Ligue 1,30,1995,21,20,1397,15.5,0,3,3,0,0,0,3,0,3.0,3.0,2.3,5.3,35,39,74,0.0,0.19,0.19,0.0,0.19,0.2,0.15,0.34,0.2,0.34,15.5,32,2.06,20,1,1,6,3,1,7,0.45,4,0,0,2,1,0,292,392,74.5,4161,967,178,210,84.8,92,130,70.8,13,22,59.1,3,2.3,1.5,0.7,12,24,10,2,39,0,14,22,7,26,10,9,1,0,0,66,10,17,37.0,0,29,5,17.2,1.87,0.32,0.0,0.0,14.4,0,0,0,0.1,-3.0,-3.0,14,9,5,6,3,3,21,14.3,18,9,0,9,10,24,16,0,67,59.7,20,69,1,1,16,0,1.29,14,22,-8,-0.52,0.25,16.7,26.6,-9.9,-0.64,-0.23,560,9,116,248,210,54,560,37,10,27.0,27,73.0,341,2337,913,35,25,5,33,23,388,74
