Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
5,Yunis Abdelhamid,MAR,Défenseur,Saint-Étienne,Ligue 1,37,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,10.8,6,0.55,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,432,498,86.7,7860,2367,145,157,92.4,259,283,91.5,23,48,47.9,0,0.1,0.3,-0.1,2,27,0,0,22,0,16,6,0,0,13,11,0,0,0,42,19,8,70.4,0,2,1,50.0,0.18,0.09,0.0,0.0,10.8,0,0,0,0.12,-0.2,-0.2,17,11,15,2,0,10,16,62.5,6,24,17,7,13,30,56,1,81,42.5,11,85,9,1,40,12,0.46,4,31,-27,-2.49,-2.15,8.0,26.3,-18.3,-1.68,-0.89,630,124,405,213,14,7,630,6,3,50.0,3,50.0,319,1723,837,4,1,0,8,3,390,3
7,Mohamed Abdelmoneim,EGY,Défenseur,Nice,Ligue 1,26,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,3,0.44,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,291,332,87.7,5339,1686,105,115,91.3,160,175,91.4,19,32,59.4,0,0.0,0.1,0.0,0,15,1,0,26,0,4,6,0,0,13,12,0,0,0,31,22,13,62.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,17,12,11,5,1,11,18,61.1,7,6,3,3,13,30,39,1,68,26.0,7,84,6,2,12,11,1.89,10,10,0,0.0,-0.99,10.9,8.6,2.3,0.35,-0.42,410,56,199,194,19,1,410,3,1,33.3,2,66.7,200,756,403,2,0,0,2,2,234,3
8,Ali Abdi,TUN,Défenseur,Nice,Ligue 1,31,1993,18,11,942,10.5,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.6,27,29,59,0.19,0.19,0.38,0.19,0.38,0.11,0.13,0.24,0.11,0.24,10.5,29,2.77,20,3,3,2,0,1,2,0.19,1,1,0,0,0,0,333,450,74.0,5186,1777,175,208,84.1,128,169,75.7,19,41,46.3,2,1.4,1.2,0.6,13,11,13,3,29,0,16,9,2,26,11,16,0,0,0,45,13,10,56.5,2,16,5,31.3,1.53,0.48,0.13,0.4,19.8,0,0,0,0.07,0.8,0.8,25,16,10,9,6,19,31,61.3,12,17,4,13,11,36,28,0,52,40.3,11,79,5,7,10,0,1.83,17,9,8,0.76,0.06,17.6,10.8,6.8,0.65,-0.01,584,39,169,232,187,30,584,16,7,43.8,9,56.3,239,1156,648,27,9,8,20,10,321,59
14,Abner,BRA,Défenseur,Lyon,Ligue 1,24,2000,14,9,820,9.1,1,1,2,1,0,0,1,0,0.2,0.2,0.9,1.1,22,51,48,0.11,0.11,0.22,0.11,0.22,0.02,0.1,0.12,0.02,0.12,9.1,18,1.98,15,3,0,0,0,0,1,0.11,1,0,0,0,0,0,420,502,83.7,6126,2606,242,265,91.3,139,164,84.8,24,39,61.5,1,0.9,1.9,0.1,10,32,10,2,51,0,11,4,0,26,5,14,0,0,0,37,5,6,45.5,1,6,3,50.0,0.66,0.33,0.17,0.33,19.9,0,0,0,0.03,0.8,0.8,20,14,9,8,3,15,23,65.2,8,12,1,11,5,25,32,0,59,35.0,9,81,4,5,19,10,1.86,13,9,4,0.44,-0.33,15.5,12.2,3.3,0.36,0.12,593,30,135,278,182,19,593,9,4,44.4,5,55.6,303,1420,919,22,13,4,12,7,379,48
34,Adryelson,BRA,Défenseur,Lyon,Ligue 1,27,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0,1,0.0,0,0,0,1,1,2,3.0,0,0,0,0.0,-0.65,0.0,0.0,0.0,0.0,-0.29,5,1,2,3,0,0,5,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,1,0
39,Emmanuel Agbadou,CIV,Défenseur,Reims,Ligue 1,27,1997,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,14.0,21,1.5,19,0,1,1,0,0,1,0.07,1,0,0,0,0,0,810,922,87.9,16521,6962,293,316,92.7,400,417,95.9,110,174,63.2,0,0.3,0.3,-0.3,8,71,4,1,77,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1,0,15,3,20.0,1.07,0.21,0.0,0.0,28.8,1,0,0,0.04,-0.5,-0.5,25,17,19,3,3,19,26,73.1,7,22,13,9,19,44,64,1,90,53.8,14,90,14,0,0,0,1.36,19,17,2,0.14,1.48,18.0,21.0,-3.0,-0.22,0.84,1080,178,565,474,45,4,1080,12,9,75.0,3,25.0,621,3413,1974,10,9,0,9,6,701,0
48,Ruben Aguilar,FRA,Défenseur,Lens,Ligue 1,31,1993,11,8,706,7.8,1,1,2,1,0,0,2,0,0.4,0.4,0.7,1.1,10,39,58,0.13,0.13,0.25,0.13,0.25,0.04,0.09,0.14,0.04,0.14,7.8,15,1.91,15,0,0,0,0,0,2,0.25,2,0,0,0,0,0,420,522,80.5,5833,2559,269,305,88.2,105,139,75.5,24,32,75.0,1,0.7,0.8,0.3,5,21,12,2,39,0,11,10,3,26,12,16,0,0,0,51,9,10,47.4,1,6,2,33.3,0.76,0.25,0.17,0.5,18.7,0,0,0,0.06,0.6,0.6,30,16,14,11,5,23,34,67.6,11,19,3,16,12,42,17,0,64,30.2,8,84,4,3,12,3,1.64,9,6,3,0.38,0.44,10.2,8.5,1.6,0.21,0.02,632,21,167,271,199,14,632,14,6,42.9,6,42.9,294,1250,592,10,7,2,11,6,356,58
62,Ümit Akdag,ROU,Défenseur,Toulouse,Ligue 1,21,2003,6,6,434,4.8,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,26,7,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,4.8,3,0.62,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,231,293,78.8,3952,1494,100,122,82.0,120,132,90.9,10,29,34.5,0,0.1,0.1,-0.1,2,12,1,0,26,0,8,0,0,1,11,2,0,0,0,21,16,5,76.2,0,2,0,0.0,0.41,0.0,0.0,0.0,24.3,0,0,0,0.04,-0.1,-0.1,5,2,1,4,0,3,9,33.3,6,8,6,2,11,16,15,0,72,18.5,6,72,0,0,0,18,0.33,1,8,-7,-1.45,-1.97,7.3,7.4,-0.1,-0.01,-0.47,336,26,126,199,15,1,336,1,1,100.0,0,0.0,182,780,370,3,1,0,1,0,202,7
65,Sergio Akieme,ESP,Défenseur,Reims,Ligue 1,27,1997,22,21,1848,20.5,1,1,2,1,0,0,4,0,1.0,1.0,1.4,2.4,43,71,74,0.05,0.05,0.1,0.05,0.1,0.05,0.07,0.12,0.05,0.12,20.5,26,1.27,22,1,0,2,1,0,1,0.05,1,0,0,0,0,0,689,849,81.2,9864,2929,413,446,92.6,235,288,81.6,24,74,32.4,1,1.4,1.7,-0.4,13,35,16,9,71,0,19,14,0,63,13,19,0,0,0,83,14,19,42.4,1,20,5,25.0,0.97,0.24,0.05,0.2,20.7,0,0,0,0.05,0.0,0.0,28,19,25,2,1,18,29,62.1,11,21,6,15,13,41,67,4,84,79.0,21,87,16,1,13,0,0.64,17,32,-15,-0.73,-0.91,23.0,36.8,-13.9,-0.68,-0.35,1069,65,380,405,294,24,1069,26,11,42.3,15,57.7,519,3218,1812,43,30,5,24,16,604,74
67,Clément Akpa,CIV,Défenseur,Auxerre,Ligue 1,23,2001,23,21,1852,20.6,0,1,1,0,0,0,5,0,0.1,0.1,0.9,1.0,23,60,23,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,20.6,18,0.87,13,2,0,0,1,2,3,0.15,2,0,0,0,1,0,708,876,80.8,14296,5410,244,278,87.8,360,403,89.3,97,170,57.1,1,0.9,0.9,0.1,8,54,10,5,60,0,8,22,0,23,30,30,0,1,0,99,27,24,52.9,0,4,1,25.0,0.19,0.05,0.0,0.0,19.3,0,0,0,0.03,-0.1,-0.1,48,30,31,11,6,28,39,71.8,11,33,11,22,30,78,103,2,81,79.1,21,85,16,2,34,1,1.3,30,32,-2,-0.1,-0.1,25.8,36.3,-10.5,-0.51,-0.21,1128,124,575,464,101,6,1128,19,5,26.3,11,57.9,626,3086,1691,23,17,1,6,4,647,23
