Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
313,Dimitry Bertaud,COD,Gardien,Montpellier,Ligue 1,26,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,63,92,68.5,1921,1513,7,7,100.0,32,32,100.0,24,52,46.2,0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,90,11.8,3,90,3,0,0,23,1.0,6,8,-2,-0.67,0.93,3.4,7.5,-4.1,-1.35,-0.64,99,83,99,0,0,0,99,0,0,0.0,0,0.0,47,265,138,0,0,0,0,0,38,0
331,Marco Bizot,NED,Gardien,Brest,Ligue 1,34,1991,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,592,851,69.6,18856,14564,61,62,98.4,290,291,99.7,240,495,48.5,0,0.0,0.0,0.0,0,7,0,0,1,0,1,3,0,0,0,1,0,0,0,29,5,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,21,0,90,96.2,25,90,25,0,0,0,1.36,34,39,-5,-0.2,-3.2,34.3,41.6,-7.4,-0.29,-1.13,910,793,906,4,0,0,910,0,0,0.0,0,0.0,508,2589,1256,0,0,0,2,0,448,0
412,Marcin Bułka,POL,Gardien,Nice,Ligue 1,25,1999,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,26.0,3,0.12,3,0,0,0,0,0,1,0.04,1,0,0,0,0,0,695,869,80.0,17044,11761,159,162,98.1,343,356,96.3,188,344,54.7,0,0.2,0.1,-0.2,1,6,0,0,0,0,0,4,0,0,0,0,0,0,0,45,8,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,6,90,100.0,26,90,26,0,0,0,1.81,50,31,19,0.73,0.0,46.2,29.2,17.0,0.65,0.0,932,744,928,3,1,1,932,1,0,0.0,1,100.0,557,2636,1689,0,0,0,2,0,487,0
471,Patrik Carlgren,SWE,Gardien,Nantes,Ligue 1,33,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,65,93,69.9,1846,1453,13,13,100.0,26,26,100.0,25,52,48.1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,90,11.5,3,90,3,0,0,20,1.33,3,5,-2,-0.67,-0.14,3.1,5.0,-1.9,-0.64,-0.25,98,89,98,0,0,0,98,0,0,0.0,0,0.0,56,333,232,0,0,0,0,0,39,0
525,Lucas Chevalier,FRA,Gardien,Lille,Ligue 1,23,2001,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,26.0,3,0.12,3,0,0,0,0,0,1,0.04,1,0,0,0,0,0,644,816,78.9,15865,11173,160,160,100.0,321,327,98.2,161,325,49.5,0,0.5,0.2,-0.5,1,9,0,0,1,0,0,4,0,0,0,2,0,0,0,57,4,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,7,2,90,100.0,26,90,26,0,0,0,1.69,40,28,12,0.46,0.0,43.6,35.7,7.9,0.3,0.0,870,720,864,7,0,0,870,0,0,0.0,0,0.0,549,2797,1685,0,0,0,0,0,481,0
594,Grégoire Coudert,FRA,Gardien,Brest,Ligue 1,25,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,29,38,76.3,781,504,5,5,100.0,17,17,100.0,7,16,43.8,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,90,3.8,1,90,1,0,0,25,3.0,4,1,3,3.0,3.2,2.0,1.1,0.8,0.84,1.13,44,35,44,0,0,0,44,0,0,0.0,0,0.0,27,188,121,0,0,0,0,0,25,0
661,Théo De Percin,MTQ,Gardien,Auxerre,Ligue 1,24,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,31,58,53.4,1059,852,3,3,100.0,9,10,90.0,19,44,43.2,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,90,7.7,2,90,2,0,0,22,0.5,1,3,-2,-1.0,-1.0,2.2,4.3,-2.2,-1.08,-0.67,68,59,66,2,0,0,68,0,0,0.0,0,0.0,35,180,118,0,0,0,0,0,22,0
679,Arthur Desmas,FRA,Gardien,Le Havre,Ligue 1,30,1994,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3,0.18,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,385,496,77.6,9708,6171,79,79,100.0,210,213,98.6,95,201,47.3,0,0.0,0.0,0.0,1,7,0,0,0,0,1,6,0,0,0,0,0,1,0,12,2,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1,90,65.4,17,90,17,0,0,9,0.71,13,36,-23,-1.35,-0.69,17.1,31.3,-14.3,-0.84,-0.36,535,439,530,5,0,0,535,0,0,0.0,0,0.0,278,1669,1037,0,0,0,2,0,239,0
719,Yehvann Diouf,FRA,Gardien,Reims,Ligue 1,25,1999,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5,0.19,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,646,917,70.4,17629,12868,113,114,99.1,330,339,97.3,201,455,44.2,0,0.0,0.0,0.0,0,10,0,0,0,0,0,2,0,0,0,1,0,0,0,32,5,0,100.0,0,1,1,100.0,0.04,0.04,0.0,0.0,11.8,0,0,0,0.06,-0.1,-0.1,2,1,2,0,0,1,3,33.3,2,0,0,0,0,2,11,2,90,100.0,26,90,26,0,0,0,0.88,26,40,-14,-0.54,0.0,29.1,44.7,-15.6,-0.6,0.0,996,805,983,12,1,1,996,1,1,100.0,0,0.0,511,2501,1532,0,0,0,1,0,443,0
735,Álex Domínguez,ESP,Gardien,Toulouse,Ligue 1,26,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,11,72.7,255,195,2,2,100.0,2,2,100.0,3,6,50.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,19,0.8,0,0,0,1,19,16,3.0,0,0,0,0.0,-0.16,0.5,0.1,0.4,1.74,1.39,11,9,11,0,0,0,11,0,0,0.0,0,0.0,3,22,5,0,0,0,0,0,5,0
