Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
6,Himad Abdelli,ALG,Milieu,Angers,Ligue 1,25,1999,25,25,2222,24.7,6,1,7,3,3,4,3,0,5.6,2.5,2.9,5.4,86,167,94,0.24,0.04,0.28,0.12,0.16,0.23,0.12,0.35,0.1,0.22,24.7,74,3.0,63,2,3,1,3,2,2,0.08,1,0,1,0,0,0,1126,1363,82.6,17293,4685,597,673,88.7,422,486,86.8,63,118,53.4,1,2.9,2.9,-1.9,32,130,31,2,167,0,38,30,2,37,19,25,0,0,0,137,12,18,40.0,6,24,6,25.0,0.97,0.24,0.13,0.5,24.1,0,3,4,0.1,0.4,0.5,37,25,8,16,13,13,37,35.1,24,16,0,16,19,56,20,1,89,95.0,25,89,20,0,0,0,0.96,22,42,-20,-0.81,-3.86,25.9,42.3,-16.5,-0.67,-2.44,1612,22,213,937,492,41,1608,98,44,44.9,52,53.1,946,5987,3399,86,71,16,43,36,1185,94
15,Zakaria Aboukhlal,MAR,Milieu,Toulouse,Ligue 1,25,2000,23,22,1827,20.3,7,2,9,6,1,2,4,0,10.1,8.5,1.5,10.0,29,22,152,0.34,0.1,0.44,0.3,0.39,0.5,0.07,0.57,0.42,0.49,20.3,32,1.58,18,0,4,5,4,1,7,0.34,3,0,1,0,3,0,212,335,63.3,2647,728,140,186,75.3,52,90,57.8,6,14,42.9,2,1.5,1.8,0.5,11,15,9,3,22,0,34,23,10,31,6,11,2,0,0,56,21,38,35.6,7,59,24,40.7,2.91,1.18,0.1,0.25,14.5,0,1,2,0.14,-3.1,-2.5,19,11,6,7,6,4,21,19.0,17,16,1,15,6,25,8,0,79,78.1,22,82,9,1,27,0,1.3,22,22,0,0.0,-0.7,27.4,22.3,5.1,0.25,-0.53,582,5,55,188,344,107,580,45,12,26.7,31,68.9,353,1778,797,29,20,16,61,25,429,152
28,Martin Adeline,FRA,Milieu,Reims,Ligue 1,21,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,26,1.1,0,0,0,1,26,1,1.0,0,1,-1,-3.46,-2.96,0.1,1.0,-1.0,-3.42,-2.85,14,2,8,4,2,1,14,0,0,0.0,0,0.0,6,35,9,1,0,1,0,0,9,1
49,Naouirou Ahamada,FRA,Milieu,Rennes,Ligue 1,22,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,0.6,2,3.1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,22,77.3,266,33,8,11,72.7,9,9,100.0,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,1,0,1,0,0,1,2,0,0,0,0,7,0,1,0.0,0,1,0,0.0,1.55,0.0,0.0,0.0,28.2,0,0,0,0.02,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,2,0,19,2.5,0,0,0,3,19,10,1.0,1,2,-1,-1.55,-1.51,0.5,1.9,-1.4,-2.19,-2.24,31,1,12,16,3,0,31,1,0,0.0,1,100.0,16,131,55,2,1,0,1,1,17,1
52,Jean-Eudes Aholou,CIV,Milieu,Angers,Ligue 1,31,1994,23,23,1751,19.5,2,0,2,2,0,0,7,0,1.8,1.8,0.4,2.1,15,64,16,0.1,0.0,0.1,0.1,0.1,0.09,0.02,0.11,0.09,0.11,19.5,29,1.49,17,0,2,4,3,3,1,0.05,0,0,0,0,1,0,603,707,85.3,9532,2460,297,333,89.2,272,300,90.7,18,41,43.9,0,0.4,0.6,-0.4,8,42,5,0,64,0,43,21,1,2,33,32,0,0,0,95,32,22,59.3,2,26,7,26.9,1.34,0.36,0.08,0.29,18.5,0,0,0,0.07,0.2,0.2,50,32,24,17,9,20,41,48.8,21,30,14,16,33,83,31,0,76,74.8,23,76,7,0,0,0,1.13,16,28,-12,-0.62,-0.01,19.1,32.3,-13.2,-0.68,-0.54,958,43,241,574,152,31,958,28,12,42.9,12,42.9,462,2006,965,15,7,2,29,11,572,16
114,Mathis Amougou,FRA,Milieu,Saint-Étienne,Ligue 1,19,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.8,8,36,17,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,9.5,17,1.78,14,0,2,1,0,0,0,0.0,0,0,0,0,0,0,232,301,77.1,3514,1194,126,146,86.3,82,107,76.6,14,25,56.0,0,0.4,0.3,-0.4,7,23,4,0,36,0,6,8,0,1,12,15,0,0,0,37,3,12,20.0,0,7,1,14.3,0.73,0.1,0.0,0.0,18.9,0,0,0,0.06,-0.5,-0.5,21,15,15,5,1,10,19,52.6,9,10,0,10,12,33,4,0,51,37.4,9,77,3,8,21,1,0.71,8,20,-12,-1.26,0.0,8.7,18.5,-9.8,-1.03,0.23,407,18,104,218,90,9,407,16,5,31.3,9,56.3,242,1169,585,8,11,2,22,8,273,17
121,Benjamin André,FRA,Milieu,Lille,Ligue 1,34,1990,23,23,2062,22.9,0,1,1,0,0,0,10,0,1.3,1.3,1.4,2.7,23,171,52,0.0,0.04,0.04,0.0,0.04,0.06,0.06,0.12,0.06,0.12,22.9,39,1.7,35,0,0,2,2,0,7,0.31,4,0,0,2,1,0,1239,1492,83.0,21063,5680,595,667,89.2,501,573,87.4,114,172,66.3,1,1.4,2.3,-0.4,14,160,15,2,171,0,36,36,3,12,39,31,1,0,0,146,76,67,53.1,0,15,4,26.7,0.65,0.17,0.0,0.0,16.0,0,0,0,0.09,-1.3,-1.3,67,31,22,39,6,39,72,54.2,33,34,6,28,39,106,42,0,90,88.1,23,90,22,0,0,0,1.61,34,27,7,0.31,-1.31,36.5,32.4,4.1,0.18,-1.06,1763,55,306,1135,331,41,1763,17,5,29.4,10,58.8,904,4050,1942,23,26,1,36,25,1222,52
150,Hákon Arnar Haraldsson,ISL,Milieu,Lille,Ligue 1,21,2003,18,14,1209,13.4,4,2,6,4,0,0,3,0,3.0,3.0,1.8,4.7,38,75,105,0.3,0.15,0.45,0.3,0.45,0.22,0.13,0.35,0.22,0.35,13.4,53,3.95,38,7,1,3,3,1,5,0.37,4,0,0,1,0,0,557,693,80.4,8901,2115,278,322,86.3,214,246,87.0,43,69,62.3,2,1.8,2.1,0.2,25,50,33,4,75,0,13,18,1,32,6,10,1,0,0,50,2,9,18.2,4,26,10,38.5,1.94,0.74,0.15,0.4,17.0,2,0,0,0.12,1.0,1.0,22,10,6,11,5,8,21,38.1,13,6,1,5,6,28,4,0,67,51.7,14,77,4,4,31,0,1.72,18,13,5,0.37,-0.18,21.6,19.0,2.6,0.19,-0.23,823,11,76,367,384,53,823,28,16,57.1,12,42.9,511,2972,1475,38,28,8,32,8,639,105
165,Dehmaine Assoumani,FRA,Milieu,Nantes,Ligue 1,19,2005,9,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,4,1,14,0.0,0.0,0.0,0.0,0.0,0.1,0.96,1.06,0.1,1.06,0.9,6,6.67,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,36,45,80.0,537,138,21,23,91.3,13,14,92.9,2,4,50.0,0,0.9,1.0,-0.9,4,1,2,2,1,0,1,3,0,4,1,3,0,0,0,8,2,3,40.0,0,3,2,66.7,3.33,2.22,0.0,0.0,26.1,0,0,0,0.03,-0.1,-0.1,6,3,0,4,2,4,5,80.0,1,1,0,1,1,7,3,0,9,3.5,0,0,0,9,9,9,0.78,1,2,-1,-1.11,-0.59,1.7,1.2,0.5,0.57,1.01,67,2,11,34,23,6,67,4,3,75.0,1,25.0,41,264,142,4,2,1,6,3,40,14
166,Valentin Atangana Edoa,FRA,Milieu,Reims,Ligue 1,19,2005,26,25,2137,23.7,0,0,0,0,0,0,7,0,0.9,0.9,0.5,1.4,35,78,24,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,23.7,38,1.6,27,0,3,3,3,2,1,0.04,1,0,0,0,0,0,725,835,86.8,11006,2870,386,414,93.2,303,331,91.5,19,42,45.2,0,0.5,0.4,-0.5,10,56,6,0,78,0,41,36,4,15,30,39,0,0,0,94,30,22,57.7,0,22,2,9.1,0.93,0.08,0.0,0.0,21.3,0,0,0,0.04,-0.9,-0.9,52,39,25,22,5,20,28,71.4,8,24,12,12,30,82,40,0,82,91.3,25,84,13,1,45,0,0.88,24,37,-13,-0.55,-0.1,27.1,40.1,-13.0,-0.55,0.63,1109,85,350,589,184,32,1109,43,14,32.6,24,55.8,567,3764,1793,35,30,6,44,18,693,24
