id;minute;X;Y;xG;h_a;situation;season;shotType;h_team;a_team;h_goals;a_goals;date;player_assisted;video_but
1;4;117.8;40.3;0.68514305;h;OpenPlay;2013;RightFoot;Barcelona;Real Sociedad;4;1;24/09/2013;Alexis Sánchez;vs Real Sociedad 24 Sept 2013
2;18;112.0;28.6;0.038283277;h;OpenPlay;2013;RightFoot;Barcelona;Real Madrid;2;1;26/10/2013;Andrés Iniesta;vs Real Madrid 26 Oct 2013
3;34;109.8;37.4;0.43852153;a;OpenPlay;2013;RightFoot;Real Betis;Barcelona;1;4;10/11/2013;Cesc Fàbregas;vs Real Betis 10 Nov 2013
4;88;92.4;44.2;0.028015273;h;OpenPlay;2014;RightFoot;Barcelona;Rayo Vallecano;0;6;15/02/2014;Andrés Iniesta;vs Rayo Vallecano 15 Fev 2014
5;5;116.2;40.2;0.9064407;h;OpenPlay;2014;RightFoot;Barcelona;Celta Vigo;3;0;26/03/2014;Alexis Sánchez;vs 1er But Celta Vigo 26 Mar 2014
6;66;111.5;29.0;0.104000695;h;OpenPlay;2014;LeftFoot;Barcelona;Celta Vigo;3;0;26/03/2014;Alexis Sánchez;vs 2e but Celta Vigo 26 Mar 2014
7;78;0.88;0.59;0.34036099910736084;h;OpenPlay;2014;LeftFoot;Barcelona;Athletic Club;2;0;13/09/2014;Lionel Messi;vs 1er but Athletic Club 13 Sept 2014
8;83;0.8959999847412109;0.48900001525878906;0.4520849883556366;h;OpenPlay;2014;RightFoot;Barcelona;Athletic Club;2;0;13/09/2014;Lionel Messi;vs 2e but Athletic Club 13 Sept 2014
9;33;0.9159999847412109;0.375;0.5665929913520813;a;OpenPlay;2014;RightFoot;Levante;Barcelona;0;5;21/09/2014;Lionel Messi;vs Levante 21 Sept 2014
10;25;0.88;0.5320000076293945;0.4133729934692383;h;OpenPlay;2014;RightFoot;Barcelona;Granada;6;0;27/09/2014;;vs 1er but Granada 27 Sept 2014
11;44;0.915;0.6040000152587891;0.474234014749527;h;OpenPlay;2014;RightFoot;Barcelona;Granada;6;0;27/09/2014;;vs 2eme but Granada 27 Sept 2014
