Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
0,Max Aarons,ENG,Défenseur,Bournemouth,Premier League,25,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,0,0,2,0,2,1,2,0,0,0,7,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,29,3.3,1,61,0,2,13,11,0.67,2,0,2,2.09,1.74,2.3,0.3,2.0,2.12,1.69,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3
21,Joshua Acheampong,ENG,Défenseur,Chelsea,Premier League,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,1.9,2,1.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,0,2,0,0.0,1.06,0.0,0.0,0.0,8.9,0,0,0,0.11,-0.2,-0.2,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,43,6.5,2,80,1,2,5,10,2.0,2,3,-1,-0.53,-1.16,3.6,2.1,1.5,0.82,0.27,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0
27,Tosin Adarabioyo,ENG,Défenseur,Chelsea,Premier League,27,1997,16,11,1091,12.1,1,1,2,1,0,0,2,0,0.9,0.9,0.2,1.1,5,30,1,0.08,0.08,0.16,0.08,0.16,0.07,0.02,0.09,0.07,0.09,12.1,10,0.83,5,0,0,5,0,0,1,0.08,0,0,0,1,0,0,875,959,91.2,16057,5863,333,348,95.7,487,512,95.1,53,88,60.2,1,0.2,0.2,0.8,1,48,0,0,30,0,7,3,1,0,9,10,0,0,0,30,32,22,59.3,1,11,2,18.2,0.91,0.16,0.09,0.5,12.3,0,0,0,0.08,0.1,0.1,14,10,10,4,0,8,12,66.7,4,7,6,1,9,23,52,0,68,41.8,11,87,10,5,28,13,1.69,25,12,13,1.07,0.89,26.6,16.0,10.6,0.88,0.53,1062,137,509,535,19,12,1062,2,2,100.0,0,0.0,642,2646,1509,5,1,0,3,0,823,1
38,Emmanuel Agbadou,CIV,Défenseur,Wolves,Premier League,27,1997,7,7,600,6.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,5,0.75,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,321,392,81.9,6519,2264,108,118,91.5,165,183,90.2,45,77,58.4,0,0.0,0.0,0.0,0,9,0,0,15,0,0,2,1,0,7,9,0,0,0,41,13,10,56.5,0,2,1,50.0,0.3,0.15,0.0,0.0,35.3,0,0,0,0.02,0.0,0.0,15,9,11,4,0,8,13,61.5,5,8,6,2,7,22,43,0,86,23.0,7,86,6,0,0,0,1.0,6,11,-5,-0.75,-0.17,7.1,10.9,-3.8,-0.57,-0.08,472,85,263,203,10,0,472,7,6,85.7,1,14.3,279,1449,665,1,2,0,2,2,296,0
56,Ola Aina,NGA,Défenseur,Nott'ham Forest,Premier League,28,1996,29,29,2531,28.1,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,54,91,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,28.1,50,1.78,40,5,2,1,1,1,3,0.11,2,0,0,0,0,1,828,1132,73.1,12739,5329,443,503,88.1,301,415,72.5,51,142,35.9,1,0.7,1.4,0.3,11,78,15,7,91,0,21,32,2,42,30,40,0,1,0,156,12,17,41.4,2,9,2,22.2,0.32,0.07,0.22,1.0,24.8,0,0,0,0.07,1.4,1.4,53,40,39,13,1,34,58,58.6,24,31,11,20,30,83,95,3,87,97.0,29,87,25,0,0,0,1.86,49,32,17,0.6,4.02,35.9,32.3,3.7,0.13,1.45,1449,137,537,605,332,21,1449,64,29,45.3,24,37.5,620,3994,2321,54,35,10,39,21,684,52
57,Rayan Aït-Nouri,ALG,Défenseur,Wolves,Premier League,23,2001,28,28,2381,26.5,3,5,8,3,0,0,6,1,1.9,1.9,2.6,4.5,63,91,138,0.11,0.19,0.3,0.11,0.3,0.07,0.1,0.17,0.07,0.17,26.5,56,2.12,37,8,5,4,1,1,9,0.34,7,1,0,0,0,1,1092,1291,84.6,15178,4412,668,712,93.8,344,395,87.1,33,84,39.3,5,2.6,1.8,2.4,24,61,22,5,91,1,26,30,3,61,20,44,0,0,0,122,14,24,36.8,3,24,6,25.0,0.91,0.23,0.13,0.5,15.7,0,0,0,0.08,1.1,1.1,72,44,46,22,4,36,60,60.0,24,35,6,29,20,92,59,1,85,91.2,28,85,15,0,0,0,0.82,35,57,-22,-0.83,-2.4,28.7,43.0,-14.3,-0.54,-0.43,1601,78,443,696,483,63,1601,92,46,50.0,33,35.9,845,4644,2473,63,48,17,32,32,979,138
59,Kristoffer Ajer,NOR,Défenseur,Brentford,Premier League,26,1998,16,15,1205,13.4,0,0,0,0,0,0,4,0,0.7,0.7,1.2,1.9,25,48,38,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.14,0.05,0.14,13.4,17,1.27,14,0,1,2,0,0,2,0.15,2,0,0,0,0,0,431,547,78.8,6799,2455,222,257,86.4,169,210,80.5,25,48,52.1,0,1.2,0.5,-1.2,7,38,6,4,48,0,10,6,1,13,10,14,0,0,0,33,25,18,58.1,0,7,2,28.6,0.52,0.15,0.0,0.0,10.1,0,0,0,0.1,-0.7,-0.7,20,14,10,9,1,10,22,45.5,12,14,3,11,10,30,41,0,75,46.2,15,79,5,1,15,2,1.25,19,19,0,0.0,-0.32,18.5,18.0,0.5,0.04,0.1,670,42,217,315,143,33,670,14,7,50.0,6,42.9,335,1897,1092,25,9,2,12,11,433,38
61,Manuel Akanji,SUI,Défenseur,Manchester City,Premier League,29,1995,20,20,1707,19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,19.0,34,1.79,34,0,0,0,0,0,2,0.11,2,0,0,0,0,0,1389,1479,93.9,22799,6245,666,694,96.0,641,671,95.5,68,92,73.9,0,0.4,1.1,-0.4,9,149,11,2,135,0,16,9,0,11,7,10,0,0,0,86,23,29,44.2,0,10,1,10.0,0.53,0.05,0.0,0.0,16.3,0,0,0,0.07,-0.7,-0.7,15,10,8,4,3,7,12,58.3,5,11,8,3,7,22,55,3,85,65.4,20,85,17,0,0,2,1.85,40,27,13,0.69,0.49,37.3,26.6,10.7,0.56,0.43,1591,108,472,773,348,11,1591,2,2,100.0,0,0.0,1041,5502,3286,38,52,0,4,5,1258,6
63,Nathan Aké,NED,Défenseur,Manchester City,Premier League,30,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,7.5,8,1.06,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,509,542,93.9,8321,2950,248,253,98.0,237,244,97.1,20,34,58.8,0,0.0,0.2,0.0,1,42,1,0,50,0,2,0,0,1,3,7,0,0,0,24,13,10,56.5,0,3,0,0.0,0.4,0.0,0.0,0.0,10.0,0,0,0,0.07,-0.2,-0.2,9,7,7,2,0,4,6,66.7,2,7,2,5,3,12,22,1,68,26.0,8,79,2,2,24,7,1.4,11,11,0,0.0,-0.7,12.6,13.5,-0.9,-0.12,-0.72,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,12,1,4,3,449,2
80,Trent Alexander-Arnold,ENG,Défenseur,Liverpool,Premier League,26,1998,28,26,2145,23.8,2,6,8,2,0,0,4,0,1.6,1.6,6.7,8.3,48,204,87,0.08,0.25,0.34,0.08,0.34,0.07,0.28,0.35,0.07,0.35,23.8,92,3.86,71,14,4,3,0,0,10,0.42,9,1,0,0,0,0,1321,1787,73.9,25377,10446,578,642,90.0,535,704,76.0,185,367,50.4,6,6.7,6.7,-0.7,50,187,62,20,204,0,9,7,1,140,30,47,0,0,0,120,3,12,20.0,2,38,7,18.4,1.59,0.29,0.05,0.29,23.6,2,0,0,0.04,0.4,0.4,67,47,41,17,9,46,99,46.5,53,25,8,17,30,97,51,4,77,82.2,26,80,12,2,27,0,2.39,60,21,39,1.64,1.06,53.9,18.0,35.9,1.51,0.75,2044,82,546,902,609,39,2044,29,13,44.8,14,48.3,1075,4978,2652,48,35,8,19,15,1299,87
