Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
84,Alisson,BRA,Gardien,Liverpool,Premier League,32,1992,21,21,1878,20.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,20.9,6,0.29,6,0,0,0,0,0,1,0.05,1,0,0,0,0,0,538,645,83.4,11965,7825,163,165,98.8,281,285,98.6,93,191,48.7,0,0.6,0.2,-0.6,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,36,5,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,12,1,89,72.0,21,89,20,0,0,0,2.38,50,18,32,1.53,0.3,48.0,15.6,32.4,1.55,0.65,682,499,668,14,0,0,682,1,1,100.0,0,0.0,447,1803,1063,0,0,0,1,0,407,0
142,Alphonse Areola,FRA,Gardien,West Ham,Premier League,32,1993,18,17,1540,17.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,3,0.18,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,477,683,69.8,13142,9124,96,97,99.0,227,240,94.6,152,337,45.1,0,0.0,0.0,0.0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,1,21,2,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,9,1,86,59.0,17,87,16,1,55,7,1.06,19,29,-10,-0.58,-0.08,20.8,25.5,-4.7,-0.27,0.22,720,581,714,6,0,0,720,0,0,0.0,0,0.0,401,1662,874,0,0,0,0,0,369,0
155,Kepa Arrizabalaga,ESP,Gardien,Bournemouth,Premier League,30,1994,22,22,1980,22.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4,0.18,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,502,712,70.5,14253,10056,70,72,97.2,254,260,97.7,177,373,47.5,0,0.0,0.0,0.0,1,7,0,0,0,0,2,4,0,0,0,0,0,2,0,38,4,1,80.0,0,1,0,0.0,0.05,0.0,0.0,0.0,9.7,0,0,0,0.06,-0.1,-0.1,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,11,3,90,75.9,22,90,22,0,0,1,1.55,40,29,11,0.5,0.36,42.5,28.5,13.9,0.63,0.6,762,567,745,16,1,1,762,1,1,100.0,0,0.0,444,2197,1266,0,0,0,0,0,338,0
173,Brandon Austin,ENG,Gardien,Tottenham,Premier League,26,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,22,32,68.8,526,386,7,7,100.0,9,9,100.0,6,16,37.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,90,3.4,1,90,1,0,0,12,0.0,1,2,-1,-1.0,-1.46,0.9,2.5,-1.6,-1.57,-1.58,36,30,36,0,0,0,36,0,0,0.0,0,0.0,22,104,46,0,0,0,0,0,16,0
767,Martin Dúbravka,SVK,Gardien,Newcastle Utd,Premier League,36,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,265,333,79.6,5932,3082,58,58,100.0,161,161,100.0,45,112,40.2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,90,35.7,10,90,10,0,0,14,2.1,23,12,11,1.1,1.21,20.2,10.8,9.4,0.94,0.85,350,262,337,14,0,0,350,0,0,0.0,0,0.0,202,1043,643,0,0,0,0,0,175,0
784,Ederson,BRA,Gardien,Manchester City,Premier League,31,1993,19,19,1710,19.0,0,3,3,0,0,0,3,0,0.0,0.0,0.8,0.8,0,1,0,0.0,0.16,0.16,0.0,0.16,0.0,0.04,0.04,0.0,0.04,19.0,5,0.26,5,0,0,0,0,0,3,0.16,3,0,0,0,0,0,614,706,87.0,15021,9928,114,114,100.0,359,366,98.1,139,223,62.3,3,0.8,0.0,2.2,3,19,1,0,1,0,1,0,0,0,1,0,0,1,0,31,3,1,75.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,7,2,90,65.5,19,90,19,0,0,4,1.84,37,23,14,0.74,0.64,35.8,23.2,12.6,0.66,0.73,749,523,740,9,0,0,749,0,0,0.0,0,0.0,501,2333,1477,0,0,0,1,0,480,0
839,Łukasz Fabiański,POL,Gardien,West Ham,Premier League,39,1985,13,12,1070,11.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,3,0.25,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,304,454,67.0,8756,6129,53,53,100.0,147,148,99.3,104,252,41.3,0,0.0,0.0,0.0,0,4,0,0,0,0,2,1,0,0,0,0,0,2,0,5,2,1,66.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,82,41.0,12,85,11,1,45,13,1.38,14,20,-6,-0.5,0.08,15.8,21.7,-5.8,-0.49,-0.22,488,382,483,5,0,0,488,2,2,100.0,0,0.0,258,1371,845,0,0,0,0,0,227,0
873,Mark Flekken,NED,Gardien,Brentford,Premier League,31,1993,28,28,2465,27.4,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.04,0.04,0.0,0.04,0.0,0.01,0.01,0.0,0.01,27.4,6,0.22,3,3,0,0,0,0,1,0.04,0,1,0,0,0,0,979,1321,74.1,28062,18778,125,128,97.7,541,556,97.3,313,631,49.6,1,0.2,0.1,0.8,2,38,2,0,0,0,0,3,0,0,0,3,0,0,0,35,4,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3,3,3,0,0,2,7,28.6,5,1,0,1,0,3,22,3,88,94.4,28,88,27,0,0,0,1.46,50,43,7,0.26,1.5,41.6,43.8,-2.2,-0.08,-1.1,1406,1096,1367,44,0,0,1406,1,1,100.0,0,0.0,870,4398,2486,0,0,0,2,0,800,0
889,Fraser Forster,ENG,Gardien,Tottenham,Premier League,37,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,168,198,84.8,3349,2105,54,55,98.2,86,90,95.6,23,47,48.9,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,3,90,24.1,7,90,7,0,0,11,0.71,14,15,-1,-0.14,-0.73,11.1,16.0,-4.9,-0.7,-0.88,228,212,228,0,0,0,228,1,1,100.0,0,0.0,113,501,264,0,0,0,1,0,94,0
1096,Dean Henderson,ENG,Gardien,Crystal Palace,Premier League,28,1997,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2,0.07,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,557,904,61.6,15064,9779,136,136,100.0,271,273,99.3,146,490,29.8,0,0.0,0.0,0.0,1,12,0,0,0,0,0,0,0,0,0,1,0,0,0,21,11,1,91.7,0,1,0,0.0,0.04,0.0,0.0,0.0,14.9,0,0,0,0.01,0.0,0.0,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,18,0,90,100.0,28,90,28,0,0,0,1.39,36,33,3,0.11,0.0,44.1,35.4,8.8,0.31,0.0,978,797,975,2,1,1,978,0,0,0.0,0,0.0,556,3303,1508,0,0,0,2,0,429,0
