Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
25,Tyler Adams,USA,Milieu,Bournemouth,Premier League,26,1999,19,13,1245,13.8,0,3,3,0,0,0,4,0,1.2,1.2,0.8,1.9,8,46,6,0.0,0.22,0.22,0.0,0.22,0.08,0.06,0.14,0.08,0.14,13.8,25,1.81,21,0,0,0,0,4,4,0.29,3,0,0,0,0,1,539,645,83.6,8524,1989,259,291,89.0,242,274,88.3,20,39,51.3,3,0.8,0.3,2.2,11,39,1,0,46,0,28,13,0,1,28,39,0,1,0,72,21,15,58.3,0,6,1,16.7,0.43,0.07,0.0,0.0,18.7,0,0,0,0.19,-1.2,-1.2,63,39,22,35,6,27,50,54.0,23,20,6,14,28,91,28,0,66,47.7,13,85,9,6,23,1,1.53,31,21,10,0.72,0.59,25.8,20.2,5.6,0.4,-0.16,839,35,218,481,148,11,839,13,2,15.4,8,61.5,403,1768,770,8,14,1,20,8,449,6
40,Asher Agbinone,ENG,Milieu,Crystal Palace,Premier League,19,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,0.1,1,15.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0,1,0,0.0,15.0,0.0,0.0,0.0,26.3,0,0,0,0.02,0.0,0.0,2,1,0,2,0,0,0,0.0,0,0,0,0,0,2,0,0,3,0.2,0,0,0,2,3,10,0.0,0,0,0,0.0,-0.11,0.1,0.0,0.1,1.71,1.4,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1
75,Carlos Alcaraz,ARG,Milieu,Southampton,Premier League,22,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,0.1,1,9.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,0,1,1,100.0,9.0,9.0,0.0,0.0,9.7,0,0,0,0.07,-0.1,-0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,10,0.4,0,0,0,1,10,0,0.0,0,0,0,0.0,1.7,0.3,0.0,0.3,2.92,4.34,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1
76,Carlos Alcaraz,ARG,Milieu,Everton,Premier League,22,2002,6,3,317,3.5,1,1,2,1,0,0,2,0,0.9,0.9,1.1,2.0,8,17,8,0.28,0.28,0.57,0.28,0.57,0.25,0.32,0.57,0.25,0.57,3.5,17,4.83,12,1,3,0,1,0,2,0.57,2,0,0,0,0,0,108,136,79.4,1850,499,50,57,87.7,44,50,88.0,10,17,58.8,1,1.1,0.3,-0.1,9,8,11,1,17,0,7,5,1,6,2,4,0,0,0,16,5,2,71.4,1,14,6,42.9,3.97,1.7,0.07,0.17,21.1,0,0,0,0.06,0.1,0.1,8,4,4,2,2,2,6,33.3,4,3,1,2,2,10,3,0,53,12.1,3,88,2,3,17,0,1.33,5,3,2,0.57,0.8,4.1,4.2,-0.1,-0.02,0.13,176,5,32,73,76,6,176,9,6,66.7,2,22.2,95,560,314,8,11,0,3,6,116,8
97,Edson Álvarez,MEX,Milieu,West Ham,Premier League,27,1997,23,18,1535,17.1,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,20,68,18,0.0,0.06,0.06,0.0,0.06,0.02,0.05,0.07,0.02,0.07,17.1,24,1.41,21,0,2,1,0,0,2,0.12,2,0,0,0,0,0,699,815,85.8,11861,3409,342,384,89.1,296,329,90.0,56,77,72.7,1,0.8,0.8,0.2,11,74,10,3,68,1,35,17,4,6,16,21,0,0,0,74,27,19,58.7,0,11,1,9.1,0.64,0.06,0.0,0.0,26.7,0,0,0,0.03,-0.3,-0.3,42,21,24,11,7,15,31,48.4,16,21,8,13,16,58,38,1,67,58.8,18,77,4,5,31,1,1.22,16,26,-10,-0.59,-0.08,20.7,25.3,-4.7,-0.27,0.22,1018,59,309,551,166,12,1018,29,14,48.3,11,37.9,547,3081,1393,20,18,2,23,13,673,18
113,Mathis Amougou,FRA,Milieu,Chelsea,Premier League,19,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,8,0.3,0,0,0,1,8,3,3.0,0,0,0,0.0,-0.55,0.2,0.0,0.2,1.97,1.41,9,1,2,4,3,0,9,0,0,0.0,0,0.0,7,25,5,0,1,0,0,1,6,0
119,Elliot Anderson,ENG,Milieu,Nott'ham Forest,Premier League,22,2002,28,24,1982,22.0,1,6,7,1,0,0,6,0,1.4,1.4,3.0,4.3,35,104,68,0.05,0.27,0.32,0.05,0.32,0.06,0.14,0.2,0.06,0.2,22.0,71,3.23,34,18,7,6,2,4,10,0.45,4,3,0,1,1,1,751,955,78.6,12022,4175,390,437,89.2,278,345,80.6,55,112,49.1,6,3.0,3.2,3.0,32,75,14,2,104,0,33,43,4,64,23,46,0,0,0,150,33,18,64.7,1,29,5,17.2,1.32,0.23,0.03,0.2,20.2,0,0,0,0.05,-0.4,-0.4,68,46,41,21,6,37,78,47.4,41,38,8,30,23,91,50,3,71,75.9,24,78,8,4,27,0,1.93,40,28,12,0.54,0.26,27.0,26.3,0.7,0.03,-0.22,1271,72,297,588,412,52,1271,60,30,50.0,22,36.7,645,3575,1674,35,27,14,47,33,746,68
120,André,BRA,Milieu,Wolves,Premier League,23,2001,24,22,1747,19.4,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,7,75,10,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,19.4,33,1.7,26,3,1,0,0,3,2,0.1,1,1,0,0,0,0,833,899,92.7,13493,3807,419,439,95.4,335,351,95.4,55,69,79.7,0,0.6,0.5,-0.6,11,83,3,0,75,0,25,26,0,0,23,40,0,1,0,129,2,6,25.0,0,6,1,16.7,0.31,0.05,0.0,0.0,22.0,0,0,0,0.04,-0.2,-0.2,60,40,27,28,5,27,47,57.4,20,34,8,26,23,83,26,1,73,66.9,22,79,10,2,3,2,0.92,27,37,-10,-0.52,0.32,19.4,29.9,-10.5,-0.54,-0.11,1097,77,308,698,99,2,1097,20,9,45.0,7,35.0,593,2531,1147,7,13,0,19,12,735,10
146,Joe Aribo,NGA,Milieu,Southampton,Premier League,28,1996,28,19,1826,20.3,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.2,34,69,62,0.15,0.0,0.15,0.15,0.15,0.13,0.08,0.21,0.13,0.21,20.3,36,1.78,31,0,2,1,2,0,1,0.05,1,0,0,0,0,0,847,958,88.4,12632,2479,463,508,91.1,329,361,91.1,31,45,68.9,0,1.6,1.2,-1.6,15,49,4,1,69,0,19,26,1,9,20,28,0,1,0,109,23,20,53.5,3,16,7,43.8,0.79,0.35,0.19,0.43,13.8,0,0,0,0.17,0.3,0.3,42,28,14,22,6,16,32,50.0,16,24,9,15,20,62,28,3,65,70.0,19,81,8,9,32,1,0.32,17,51,-34,-1.68,0.05,18.7,50.0,-31.3,-1.54,-0.47,1162,46,281,615,277,42,1162,46,18,39.1,22,47.8,683,3742,1865,34,26,11,22,15,845,62
148,Harrison Armstrong,ENG,Milieu,Everton,Premier League,18,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,0.82,0.5,1,1.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1,0,2,2,0,1,0,0,0,0,0,2,0,2,0.0,0,1,0,0.0,1.87,0.0,0.0,0.0,5.8,0,0,0,0.37,-0.4,-0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,16,1.8,0,0,0,3,16,20,1.0,0,1,-1,-1.87,-1.77,0.7,0.4,0.2,0.44,0.59,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0
