Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
17,Tammy Abraham,ENG,Attaquant,Roma,Serie A,27,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,1,1,1,1.0,0,0,0,0.0,-0.48,0.0,0.1,0.0,-3.09,-3.45,4,0,0,2,2,1,4,0,0,0.0,0,0.0,3,2,1,0,0,0,1,0,4,2
18,Tammy Abraham,ENG,Attaquant,Milan,Serie A,27,1997,23,9,978,10.9,2,3,5,1,1,2,1,0,6.1,4.4,2.0,6.4,5,22,55,0.18,0.28,0.46,0.09,0.37,0.56,0.18,0.74,0.41,0.59,10.9,28,2.58,23,0,0,4,1,0,6,0.55,4,0,0,1,1,0,125,178,70.2,1605,450,73,96,76.0,41,62,66.1,2,4,50.0,3,2.0,1.2,1.0,12,9,10,0,22,0,19,6,4,3,2,10,1,0,0,10,27,30,47.4,2,20,9,45.0,1.84,0.83,0.05,0.11,13.8,0,1,2,0.22,-4.1,-3.4,15,10,1,10,4,5,7,71.4,2,9,0,9,2,17,9,0,43,37.5,9,74,2,14,23,3,1.83,23,10,13,1.2,1.31,20.6,9.9,10.7,0.98,0.63,294,14,34,136,124,51,292,12,3,25.0,9,75.0,120,408,137,5,5,3,20,7,187,55
24,Che Adams,SCO,Attaquant,Torino,Serie A,28,1996,27,22,1913,21.3,8,3,11,8,0,0,2,0,5.2,5.2,1.8,7.1,18,28,115,0.38,0.14,0.52,0.38,0.52,0.25,0.09,0.33,0.25,0.33,21.3,54,2.54,43,1,0,5,5,0,5,0.24,4,0,0,1,0,0,315,433,72.7,4866,901,167,216,77.3,106,134,79.1,25,38,65.8,3,1.8,2.7,1.2,23,25,5,0,28,0,19,29,16,9,1,3,0,0,0,39,28,49,36.4,8,43,20,46.5,2.02,0.94,0.19,0.4,16.6,0,0,0,0.12,2.8,2.8,8,3,1,3,4,0,4,0.0,4,8,4,4,1,9,15,0,71,73.3,22,80,14,5,31,1,1.3,26,26,0,0.0,0.0,18.5,26.7,-8.2,-0.38,0.27,608,13,42,301,273,68,608,31,10,32.3,17,54.8,383,1619,566,18,14,4,49,23,471,115
58,Junior Ajayi,CIV,Attaquant,Hellas Verona,Serie A,20,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,1,2,16,3.0,0,0,0,0.0,1.0,0.0,0.1,-0.1,-4.61,-4.04,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
69,David Akpan Ankeye,NGA,Attaquant,Genoa,Serie A,23,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,2.0,0,0,0,0,1,0,1,2.0,0,0,0,0,1,0,6,7,85.7,53,28,3,4,75.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,11,1.7,0,0,0,4,11,9,0.25,1,1,0,0.0,0.32,0.3,0.8,-0.5,-1.07,-0.87,9,1,2,3,4,0,9,1,1,100.0,0,0.0,6,54,8,0,1,0,0,2,10,3
83,Faride Alidou,GER,Attaquant,Hellas Verona,Serie A,23,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,0.8,2,2.54,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,16,20,80.0,198,42,7,7,100.0,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,1,0,1,1,1,0,1,0,0,3,1,0,0,0,0,0,1,0,100.0,0,1,0,0.0,1.27,0.0,0.0,0.0,32.2,0,0,0,0.01,0.0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,1,24,2.7,0,0,0,3,24,10,0.0,0,0,0,0.0,1.03,0.5,0.5,-0.1,-0.07,0.52,31,2,5,11,17,0,31,4,2,50.0,2,50.0,17,98,44,1,3,0,1,1,19,2
92,Pontus Almqvist,SWE,Attaquant,Parma,Serie A,25,1999,26,8,994,11.0,1,1,2,1,0,0,4,0,1.9,1.9,1.3,3.2,40,12,80,0.09,0.09,0.18,0.09,0.18,0.17,0.12,0.29,0.17,0.29,11.0,24,2.17,14,0,5,2,3,0,2,0.18,2,0,0,0,0,0,203,277,73.3,2607,483,144,176,81.8,42,56,75.0,7,12,58.3,1,1.3,0.9,-0.3,9,4,4,1,12,0,12,14,1,10,17,12,1,0,0,38,8,15,34.8,1,23,9,39.1,2.08,0.81,0.04,0.11,17.7,0,0,0,0.08,-0.9,-0.9,16,12,7,6,3,8,17,47.1,9,12,0,12,17,33,6,0,38,38.1,8,63,0,18,27,3,0.69,14,22,-8,-0.72,-0.39,14.4,19.2,-4.7,-0.43,0.08,428,8,59,143,238,46,428,50,20,40.0,28,56.0,275,1986,996,40,16,21,27,12,298,80
125,Lorenzo Anghelè,ITA,Attaquant,Juventus,Serie A,20,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,4,100.0,82,12,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,6,0.2,0,0,0,1,6,0,3.0,0,0,0,0.0,-0.59,0.0,0.0,0.0,0.0,-0.47,5,0,0,5,1,0,5,1,1,100.0,0,0.0,3,19,3,0,1,0,0,0,4,0
151,Marko Arnautović,AUT,Attaquant,Inter,Serie A,35,1989,10,1,239,2.7,2,1,3,2,0,0,1,0,1.9,1.9,0.5,2.4,2,8,35,0.75,0.38,1.13,0.75,1.13,0.72,0.18,0.89,0.72,0.89,2.7,10,3.77,10,0,0,0,0,0,1,0.38,1,0,0,0,0,0,51,76,67.1,619,121,35,44,79.5,12,17,70.6,1,2,50.0,1,0.5,0.3,0.5,4,2,4,0,8,0,4,2,4,3,1,5,0,0,0,6,6,1,85.7,2,7,4,57.1,2.64,1.51,0.29,0.5,7.8,0,0,0,0.27,0.1,0.1,6,5,1,2,3,3,4,75.0,1,0,0,0,1,7,1,0,24,9.2,1,69,0,9,19,19,2.3,7,6,1,0.38,-1.03,5.2,2.7,2.5,0.93,-0.04,97,1,5,30,62,18,97,1,0,0.0,1,100.0,51,196,66,2,1,2,5,2,74,35
211,Keita Baldé,SEN,Attaquant,Monza,Serie A,30,1995,5,3,276,3.1,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,7,12,15,0.33,0.0,0.33,0.33,0.33,0.12,0.01,0.13,0.12,0.13,3.1,9,2.95,5,0,1,1,2,0,0,0.0,0,0,0,0,0,0,83,94,88.3,1284,205,39,42,92.9,37,41,90.2,4,6,66.7,0,0.0,0.1,0.0,1,8,3,2,12,0,3,13,0,4,1,1,0,0,0,3,3,10,23.1,1,8,1,12.5,2.61,0.33,0.13,1.0,18.1,0,0,0,0.05,0.6,0.6,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,0,0,55,10.6,3,80,1,2,18,0,0.4,3,7,-4,-1.3,-0.49,2.4,4.1,-1.7,-0.55,0.04,123,0,5,75,45,7,123,9,3,33.3,4,44.4,99,524,263,7,7,2,7,6,114,15
