Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
3,James Abankwah,IRL,Défenseur,Udinese,Serie A,21,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,1.0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,0,1,0,0.0,1.02,0.0,0.0,0.0,15.0,0,0,0,0.06,-0.1,-0.1,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,15,3.4,0,0,0,6,15,12,1.67,2,0,2,2.05,2.26,0.6,1.5,-0.9,-0.91,-0.62,65,8,37,22,7,2,65,0,0,0.0,0,0.0,29,219,165,3,1,1,1,3,34,1
9,Saud Abdulhamid,KSA,Défenseur,Roma,Serie A,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.0,0.44,0.44,0.0,0.44,0.01,0.08,0.09,0.01,0.09,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,1,0.2,0.2,0.8,2,4,4,2,9,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0,0,1,0,0.0,0.44,0.0,0.0,0.0,24.7,0,0,0,0.03,0.0,0.0,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,51,7.9,2,62,0,2,41,23,1.5,4,1,3,1.32,0.91,3.6,1.5,2.1,0.92,0.62,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26
20,Francesco Acerbi,ITA,Défenseur,Inter,Serie A,37,1988,15,15,1210,13.4,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,9,45,13,0.0,0.07,0.07,0.0,0.07,0.02,0.03,0.06,0.02,0.06,13.4,13,0.97,13,0,0,0,0,0,1,0.07,1,0,0,0,0,0,844,905,93.3,15948,4553,279,300,93.0,488,504,96.8,67,81,82.7,1,0.5,0.7,0.5,7,37,3,2,45,0,9,14,1,6,22,13,0,0,0,36,42,21,66.7,0,4,1,25.0,0.3,0.07,0.0,0.0,11.2,0,0,0,0.08,-0.3,-0.3,16,13,10,6,0,7,10,70.0,3,18,13,5,22,38,64,0,81,46.4,15,81,13,0,0,6,2.2,25,14,11,0.82,-0.92,23.6,15.5,8.1,0.6,-0.68,1048,103,434,549,68,17,1048,2,2,100.0,0,0.0,658,2861,1408,9,10,1,7,1,774,13
50,Honest Ahanor,ITA,Défenseur,Genoa,Serie A,17,2008,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,3,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.9,2,2.12,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,12,17,70.6,275,122,3,5,60.0,7,7,100.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,4,0,1,0,1,0,0,0,5,0,1,0.0,0,1,0,0.0,1.06,0.0,0.0,0.0,9.1,0,0,0,0.08,-0.1,-0.1,2,1,0,2,0,2,4,50.0,2,0,0,0,0,2,2,0,43,3.3,1,68,0,1,17,10,1.5,1,2,-1,-1.06,-0.77,0.8,2.1,-1.2,-1.31,-1.14,24,1,9,6,9,1,24,1,0,0.0,0,0.0,11,87,29,1,0,0,1,1,9,3
94,Giorgio Altare,ITA,Défenseur,Venezia,Serie A,26,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,8.4,5,0.6,3,0,1,0,0,1,0,0.0,0,0,0,0,0,0,283,389,72.8,5113,1998,105,129,81.4,158,198,79.8,16,49,32.7,0,0.1,0.2,-0.1,1,15,2,1,20,0,10,2,0,7,17,12,0,0,1,27,19,17,52.8,0,3,1,33.3,0.36,0.12,0.0,0.0,15.2,0,0,0,0.05,-0.2,-0.2,13,12,8,3,2,8,15,53.3,7,21,11,10,17,30,49,0,63,28.9,8,80,5,4,29,4,0.92,9,12,-3,-0.36,0.42,6.5,13.4,-6.9,-0.83,-0.24,505,60,235,216,57,6,505,6,5,83.3,1,16.7,235,990,404,4,10,0,5,5,252,5
124,Angeliño,ESP,Défenseur,Roma,Serie A,28,1997,29,27,2367,26.3,2,1,3,2,0,0,1,0,0.6,0.6,2.2,2.8,45,143,120,0.08,0.04,0.11,0.08,0.11,0.02,0.09,0.11,0.02,0.11,26.3,64,2.43,49,10,2,0,3,0,6,0.23,5,0,0,0,1,0,1251,1575,79.4,22714,8216,544,609,89.3,561,671,83.6,132,245,53.9,1,2.2,2.6,-1.2,36,118,45,16,143,0,24,23,4,81,23,17,1,0,0,81,27,24,52.9,2,16,4,25.0,0.61,0.15,0.13,0.5,21.2,0,0,0,0.04,1.4,1.4,36,17,15,19,2,14,25,56.0,11,27,8,19,23,59,65,0,82,90.7,27,86,23,2,20,0,1.69,40,27,13,0.49,0.12,38.0,29.0,9.0,0.34,-0.14,1800,73,515,851,447,30,1800,22,10,45.5,8,36.4,964,4522,2502,45,39,7,21,9,1193,120
170,Tommaso Augello,ITA,Défenseur,Cagliari,Serie A,30,1994,29,21,1933,21.5,0,4,4,0,0,0,2,0,0.2,0.2,3.8,4.1,48,86,92,0.0,0.19,0.19,0.0,0.19,0.01,0.18,0.19,0.01,0.19,21.5,57,2.65,37,16,3,1,0,0,5,0.23,5,0,0,0,0,0,839,1178,71.2,14763,6139,393,441,89.1,358,479,74.7,84,191,44.0,4,3.8,3.9,0.2,31,56,32,23,86,0,9,9,2,163,15,20,0,0,0,100,33,19,63.5,0,6,0,0.0,0.28,0.0,0.0,0.0,21.1,0,0,0,0.04,-0.2,-0.2,37,20,21,12,4,23,32,71.9,9,17,4,13,15,52,72,0,67,74.1,21,82,14,8,26,0,0.9,19,34,-15,-0.7,-0.57,23.6,33.3,-9.7,-0.45,-0.21,1368,72,459,495,433,8,1368,36,21,58.3,14,38.9,636,3171,1662,48,26,2,20,15,743,92
171,Carlos Augusto,BRA,Défenseur,Inter,Serie A,26,1999,20,8,1038,11.5,3,1,4,3,0,0,0,0,1.7,1.7,1.3,3.0,16,42,59,0.26,0.09,0.35,0.26,0.35,0.15,0.11,0.26,0.15,0.26,11.5,13,1.13,10,1,0,0,1,1,1,0.09,1,0,0,0,0,0,531,621,85.5,8538,2067,267,290,92.1,235,261,90.0,20,42,47.6,1,1.3,1.1,-0.3,6,31,7,3,42,0,7,6,3,18,5,10,0,0,0,38,41,21,66.1,3,13,4,30.8,1.13,0.35,0.23,0.75,11.0,0,0,0,0.13,1.3,1.3,20,10,8,8,4,9,13,69.2,4,11,4,7,5,25,25,0,52,39.8,8,88,7,12,28,3,2.15,27,9,18,1.56,0.42,23.7,8.4,15.3,1.33,0.6,735,40,214,351,173,23,735,6,1,16.7,5,83.3,400,1987,808,16,12,3,14,10,481,59
172,Yann Aurel Bisseck,GER,Défenseur,Inter,Serie A,24,2000,18,11,1094,12.2,1,2,3,1,0,0,3,0,1.9,1.9,0.6,2.5,24,62,33,0.08,0.16,0.25,0.08,0.25,0.16,0.05,0.21,0.16,0.21,12.2,16,1.32,13,0,0,2,0,1,4,0.33,4,0,0,0,0,0,762,831,91.7,12886,3359,311,327,95.1,401,426,94.1,36,51,70.6,2,0.6,1.0,1.4,6,55,4,1,62,0,9,7,1,6,11,10,0,1,0,43,33,10,76.7,1,15,2,13.3,1.23,0.16,0.07,0.5,12.0,0,0,0,0.13,-0.9,-0.9,13,10,7,4,2,9,11,81.8,2,14,7,7,11,24,44,1,61,41.9,11,80,7,7,30,8,2.39,31,12,19,1.56,0.44,23.1,10.2,12.9,1.06,0.16,954,76,299,527,130,30,954,11,2,18.2,8,72.7,645,3496,1681,24,20,2,8,5,732,33
186,Paulo Azzi,BRA,Défenseur,Cagliari,Serie A,30,1994,6,5,426,4.7,0,0,0,0,0,0,2,0,0.5,0.5,0.9,1.4,15,13,26,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.3,0.11,0.3,4.7,15,3.17,9,2,1,2,0,1,0,0.0,0,0,0,0,0,0,126,180,70.0,2228,889,58,74,78.4,53,69,76.8,12,29,41.4,0,0.9,0.7,-0.9,5,7,6,4,13,0,5,3,0,22,5,9,0,0,0,24,6,5,54.5,0,8,3,37.5,1.69,0.63,0.0,0.0,16.8,0,0,0,0.07,-0.5,-0.5,11,9,3,6,2,5,9,55.6,4,5,2,3,5,16,11,0,71,16.3,5,79,3,1,31,15,0.33,1,5,-4,-0.85,-0.35,5.8,5.9,-0.1,-0.02,0.45,242,19,66,97,84,8,242,13,8,61.5,4,30.8,119,804,450,15,10,3,3,4,135,26
