Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
169,Emil Audero,IDN,Gardien,Como,Serie A,28,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,209,253,82.6,4830,3117,51,51,100.0,118,120,98.3,40,82,48.8,0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,1,66.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,1,90,27.6,8,90,8,0,0,15,1.0,11,18,-7,-0.87,-0.68,9.7,11.3,-1.6,-0.2,-0.33,269,219,268,1,0,0,269,0,0,0.0,0,0.0,177,821,476,0,0,0,0,0,162,0
411,Jean Butez,FRA,Gardien,Como,Serie A,29,1995,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2,0.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,358,452,79.2,9461,6642,67,68,98.5,184,186,98.9,106,195,54.4,0,0.0,0.0,0.0,0,10,0,0,1,0,1,1,0,0,0,0,0,1,0,25,4,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,1,90,37.9,11,90,11,0,0,0,1.0,15,16,-1,-0.09,0.46,12.1,11.7,0.4,0.03,-0.01,476,387,470,7,0,0,476,0,0,0.0,0,0.0,327,1631,924,0,0,0,1,0,282,0
454,Elia Caprile,ITA,Gardien,Cagliari,Serie A,23,2001,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,262,405,64.7,8151,6444,30,30,100.0,127,130,97.7,104,244,42.6,0,0.0,0.0,0.0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1,90,34.5,10,90,10,0,0,0,0.9,10,12,-2,-0.2,0.54,8.6,13.9,-5.3,-0.53,-0.21,432,356,430,2,0,0,432,0,0,0.0,0,0.0,229,1096,699,0,0,0,0,0,197,0
455,Elia Caprile,ITA,Gardien,Napoli,Serie A,23,2001,4,3,325,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,81,98,82.7,2186,1425,12,12,100.0,45,45,100.0,24,40,60.0,0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,81,12.5,3,90,3,1,55,15,2.5,6,1,5,1.38,0.72,4.5,1.6,2.9,0.8,0.16,105,79,105,0,0,0,105,0,0,0.0,0,0.0,44,234,161,0,0,0,0,0,62,0
474,Marco Carnesecchi,ITA,Gardien,Atalanta,Serie A,24,2000,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,26.0,4,0.15,4,0,0,0,0,0,1,0.04,1,0,0,0,0,0,595,805,73.9,16436,10795,80,80,100.0,340,341,99.7,174,381,45.7,0,0.2,0.0,-0.2,1,7,0,0,0,0,0,4,0,0,0,0,0,0,0,41,6,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,17,1,90,89.7,26,90,26,0,0,1,1.96,53,27,26,1.0,-2.0,43.4,24.7,18.7,0.72,-0.31,870,766,868,2,0,0,870,0,0,0.0,0,0.0,517,2704,1530,0,0,0,0,0,445,0
528,Leandro Chichizola,ARG,Gardien,Parma,Serie A,34,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.0,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,36,50,72.0,854,507,6,6,100.0,23,23,100.0,7,20,35.0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,90,3.4,1,90,1,0,0,18,0.0,2,3,-1,-1.0,-0.54,0.8,2.5,-1.7,-1.65,-1.21,54,45,53,1,0,0,54,0,0,0.0,0,0.0,30,156,107,0,0,0,0,0,31,0
682,Michele Di Gregorio,ITA,Gardien,Juventus,Serie A,27,1997,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,24.0,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,562,721,77.9,14381,9893,130,131,99.2,285,290,98.3,146,299,48.8,0,0.5,0.0,-0.5,1,17,0,0,0,0,0,4,0,0,0,0,0,0,0,24,5,1,83.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,9,0,90,82.8,24,90,24,0,0,5,1.79,37,25,12,0.5,-0.5,32.9,23.1,9.7,0.41,-0.34,763,632,756,8,0,0,763,0,0,0.0,0,0.0,483,2607,1672,0,0,0,0,0,446,0
845,Wladimiro Falcone,ITA,Gardien,Lecce,Serie A,29,1995,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10,0.34,7,3,0,0,0,0,1,0.03,1,0,0,0,0,0,566,891,63.5,16888,13057,98,98,100.0,256,261,98.1,209,524,39.9,0,0.0,0.0,0.0,0,12,0,0,0,0,1,8,0,0,0,0,0,1,0,21,9,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,23,1,90,100.0,29,90,29,0,0,0,0.86,21,48,-27,-0.93,0.0,26.9,45.7,-18.8,-0.65,0.0,985,880,982,3,0,0,985,0,0,0.0,0,0.0,539,2852,1692,0,0,0,0,0,454,0
945,David de Gea,ESP,Gardien,Fiorentina,Serie A,34,1990,26,26,2340,26.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,0,0.0,0.04,0.04,0.0,0.04,0.0,0.02,0.02,0.0,0.02,26.0,8,0.31,6,2,0,0,0,0,3,0.12,2,1,0,0,0,0,603,840,71.8,18796,14119,80,80,100.0,266,270,98.5,256,482,53.1,1,0.4,0.0,0.6,3,16,0,0,0,0,0,2,0,0,0,0,0,0,0,14,6,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,0,90,89.7,26,90,26,0,0,3,1.73,43,27,16,0.62,0.62,32.4,28.9,3.5,0.14,-0.2,893,777,891,2,0,0,893,0,0,0.0,0,0.0,483,2357,1382,0,0,0,0,0,422,0
976,Pierluigi Gollini,ITA,Gardien,Genoa,Serie A,30,1995,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4,0.57,1,3,0,0,0,0,0,0.0,0,0,0,0,0,0,206,250,82.4,5777,4236,34,34,100.0,108,108,100.0,64,108,59.3,0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,2,1,90,24.1,7,90,7,0,0,8,0.71,5,15,-10,-1.43,-1.47,7.1,13.9,-6.8,-0.97,-1.0,269,220,268,1,0,0,269,0,0,0.0,0,0.0,131,705,467,0,0,0,0,0,140,0
