Unnamed: 0,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives.1,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives.1,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts.1,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants.1,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions.1,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
12,Oliver Abildgaard,DEN,Milieu,Como,Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,100.0,21,7,0,0,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,7,0.3,0,0,0,1,7,0,0.0,0,0,0,0.0,0.38,0.0,0.0,0.0,-0.61,-0.65,2,0,1,1,0,0,2,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
19,Federico Accornero,ITA,Milieu,Genoa,Serie A,21,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,0.2,0,0,0,1,5,11,0.0,0,0,0,0.0,0.31,0.0,0.0,0.0,0.71,0.92,8,1,2,3,3,0,8,0,0,0.0,0,0.0,5,25,18,0,1,0,2,0,5,0
32,Yacine Adli,FRA,Milieu,Fiorentina,Serie A,24,2000,21,14,1122,12.5,3,4,7,3,0,0,3,1,0.5,0.5,2.2,2.6,22,96,23,0.24,0.32,0.56,0.24,0.56,0.04,0.17,0.21,0.04,0.21,12.5,45,3.61,32,9,2,2,0,0,8,0.64,4,2,1,1,0,0,651,800,81.4,12808,4151,275,303,90.8,260,290,89.7,108,178,60.7,4,2.2,2.0,1.8,21,80,10,3,96,1,9,16,0,56,6,18,0,0,0,70,5,15,25.0,3,11,4,36.4,0.88,0.32,0.27,0.75,21.5,1,0,0,0.04,2.5,2.5,31,18,11,15,5,17,38,44.7,21,11,1,10,6,37,18,0,53,43.0,14,71,4,7,18,1,1.9,25,14,11,0.88,0.58,18.3,12.9,5.4,0.43,0.48,915,26,161,553,211,9,915,24,10,41.7,12,50.0,544,3195,1488,22,25,2,17,4,608,23
35,Vasilije Adžić,MNE,Milieu,Juventus,Serie A,18,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.3,2,6.92,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,12,16,75.0,202,22,6,8,75.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,2,2,2,50.0,0,1,1,100.0,3.46,3.46,0.0,0.0,29.1,0,0,0,0.03,0.0,0.0,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,9,1.0,0,0,0,3,9,13,3.0,1,0,1,3.46,2.9,0.3,0.1,0.3,0.9,0.44,19,0,2,7,10,1,19,1,0,0.0,1,100.0,8,25,5,0,1,0,0,1,15,2
36,Michel Aebischer,SUI,Milieu,Bologna,Serie A,28,1997,9,5,427,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,23,10,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,4.7,11,2.31,8,2,0,0,0,1,0,0.0,0,0,0,0,0,0,205,237,86.5,3625,963,94,103,91.3,85,94,90.4,21,26,80.8,0,0.3,0.5,-0.3,6,24,3,1,23,0,9,10,0,6,5,7,0,0,0,21,4,6,40.0,0,7,3,42.9,1.48,0.63,0.0,0.0,20.3,1,0,0,0.04,-0.3,-0.3,10,7,3,5,2,7,11,63.6,4,3,1,2,5,15,5,0,47,16.4,5,65,1,4,25,6,1.56,5,5,0,0.0,-0.62,3.7,5.7,-2.0,-0.42,-1.02,284,8,42,173,72,8,284,4,2,50.0,1,25.0,160,673,271,6,8,2,4,3,196,10
68,Jean-Daniel Akpa-Akpro,CIV,Milieu,Monza,Serie A,32,1992,5,3,247,2.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,2.7,3,1.09,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,68,92,73.9,1020,409,39,44,88.6,21,28,75.0,5,7,71.4,0,0.1,0.0,-0.1,2,2,2,1,4,0,12,3,0,2,2,3,0,0,0,22,5,8,38.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7,3,5,2,0,3,8,37.5,5,8,2,6,2,9,4,0,49,9.5,3,71,0,2,18,0,0.8,3,5,-2,-0.73,0.15,1.4,4.4,-3.0,-1.09,-0.56,140,9,58,57,25,1,140,13,4,30.8,6,46.2,76,375,95,1,1,0,7,2,63,3
87,Dele Alli,ENG,Milieu,Como,Serie A,28,1996,1,0,9,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,3,100.0,21,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9,0.3,0,0,0,1,9,2,0.0,0,0,0,0.0,0.38,0.0,0.4,-0.4,-3.88,-3.94,4,0,0,2,2,0,4,0,0,0.0,0,0.0,3,7,4,0,0,0,1,0,4,1
116,Sofyan Amrabat,MAR,Milieu,Fiorentina,Serie A,28,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,2.0,4,2.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,112,133,84.2,2140,528,46,50,92.0,50,59,84.7,13,20,65.0,0,0.1,0.1,-0.1,2,10,0,0,14,0,4,1,0,3,0,2,0,0,0,7,1,1,50.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,0,90,6.9,2,90,2,0,0,0,1.0,1,1,0,0.0,-0.59,1.6,2.3,-0.7,-0.36,-0.55,140,6,24,103,14,0,140,0,0,0.0,0,0.0,84,388,196,2,0,0,1,2,103,1
126,Faustino Anjorin,ENG,Milieu,Empoli,Serie A,23,2001,17,13,983,10.9,0,3,3,0,0,0,2,0,0.8,0.8,1.6,2.4,27,50,30,0.0,0.27,0.27,0.0,0.27,0.07,0.15,0.22,0.07,0.22,10.9,30,2.75,23,1,3,1,1,1,5,0.46,4,0,0,0,0,1,309,382,80.9,5431,1868,139,163,85.3,139,156,89.1,24,42,57.1,3,1.6,1.1,1.4,16,37,13,1,50,0,20,16,0,13,11,12,0,1,0,58,9,10,47.4,0,18,4,22.2,1.65,0.37,0.0,0.0,24.7,0,0,0,0.04,-0.8,-0.8,26,12,7,13,6,8,17,47.1,9,14,3,11,11,37,19,0,58,37.7,13,70,1,4,18,0,0.88,13,14,-1,-0.09,1.13,9.7,12.6,-2.9,-0.26,0.4,540,23,120,309,124,17,540,35,15,42.9,18,51.4,284,1642,938,27,17,6,17,9,336,30
161,Kristjan Asllani,ALB,Milieu,Inter,Serie A,23,2002,16,6,604,6.7,0,2,2,0,0,0,3,0,0.8,0.8,1.6,2.4,7,44,17,0.0,0.3,0.3,0.0,0.3,0.12,0.24,0.36,0.12,0.36,6.7,26,3.87,19,5,0,1,1,0,2,0.3,1,1,0,0,0,0,574,642,89.4,10929,3227,213,224,95.1,281,298,94.3,73,103,70.9,2,1.6,1.6,0.4,13,52,13,5,44,0,8,12,0,29,5,1,0,0,0,36,3,3,50.0,0,11,3,27.3,1.64,0.45,0.0,0.0,21.2,2,0,0,0.07,-0.8,-0.8,9,1,4,4,1,3,14,21.4,11,6,1,5,5,14,9,1,38,23.1,6,75,2,10,16,11,2.25,13,7,6,0.89,-0.54,12.3,5.7,6.5,0.97,0.01,703,18,158,435,112,7,703,3,0,0.0,3,100.0,450,2126,881,7,10,1,4,1,557,17
