,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
0,Max Aarons,ENG,DF,Bournemouth,Premier League,25,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,0,0,2,0,2,1,2,0,0,0,7,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,29,3.3,1,61,0,2,13,11,0.67,2,0,+2,+2.09,+1.74,2.3,0.3,+2.0,+2.12,+1.69,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3
1,Max Aarons,ENG,MF,Valencia,La Liga,25,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,14,18,77.8,222,48,6,7,85.7,6,9,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,31,1.2,0,0,0,1,31,8,0.00,0,2,-2,-5.81,-5.34,0.9,0.6,+0.4,+1.10,+1.43,24,0,4,4,16,0,24,2,1,50.0,0,0.0,10,28,10,0,0,0,1,1,11,3
2,Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,0,1,0,0.0,1.38,0.00,0.00,0,24.5,0,0,0,0.07,-0.1,-0.1,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,65,2.6,1,65,0,0,0,8,0.00,1,2,-1,-1.38,-0.87,1.4,0.7,+0.7,+0.93,+1.28,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3
3,James Abankwah,IRL,DF,Udinese,Serie A,21,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,0,1,0,0.0,1.02,0.00,0.00,0,15.0,0,0,0,0.06,-0.1,-0.1,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,15,3.4,0,0,0,6,15,12,1.67,2,0,+2,+2.05,+2.26,0.6,1.5,-0.9,-0.91,-0.62,65,8,37,22,7,2,65,0,0,0,0,0,29,219,165,3,1,1,1,3,34,1
4,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,100.0,41,0,0,0,0,2,2,100.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,3,0.1,0,0,0,1,3,7,3.00,0,0,0,0.00,-0.77,0.0,0.0,0.0,-0.49,-0.95,4,0,3,1,0,0,4,0,0,0,0,0,1,10,9,1,0,0,1,0,3,0
5,Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,10.8,6,0.55,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,432,498,86.7,7860,2367,145,157,92.4,259,283,91.5,23,48,47.9,0,0.1,0.3,-0.1,2,27,0,0,22,0,16,6,0,0,13,11,0,0,0,42,19,8,70.4,0,2,1,50.0,0.18,0.09,0.00,0.00,10.8,0,0,0,0.12,-0.2,-0.2,17,11,15,2,0,10,16,62.5,6,24,17,7,13,30,56,1,81,42.5,11,85,9,1,40,12,0.46,4,31,-27,-2.49,-2.15,8.0,26.3,-18.3,-1.68,-0.89,630,124,405,213,14,7,630,6,3,50.0,3,50.0,319,1723,837,4,1,0,8,3,390,3
6,Himad Abdelli,ALG,MF,Angers,Ligue 1,25,1999,25,25,2222,24.7,6,1,7,3,3,4,3,0,5.6,2.5,2.9,5.4,86,167,94,0.24,0.04,0.28,0.12,0.16,0.23,0.12,0.35,0.10,0.22,24.7,74,3.00,63,2,3,1,3,2,2,0.08,1,0,1,0,0,0,1126,1363,82.6,17293,4685,597,673,88.7,422,486,86.8,63,118,53.4,1,2.9,2.9,-1.9,32,130,31,2,167,0,38,30,2,37,19,25,0,0,0,137,12,18,40.0,6,24,6,25.0,0.97,0.24,0.13,0.50,24.1,0,3,4,0.10,+0.4,+0.5,37,25,8,16,13,13,37,35.1,24,16,0,16,19,56,20,1,89,95.0,25,89,20,0,0,0,0.96,22,42,-20,-0.81,-3.86,25.9,42.3,-16.5,-0.67,-2.44,1612,22,213,937,492,41,1608,98,44,44.9,52,53.1,946,5987,3399,86,71,16,43,36,1185,94
7,Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,26,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.8,3,0.44,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,291,332,87.7,5339,1686,105,115,91.3,160,175,91.4,19,32,59.4,0,0.0,0.1,0.0,0,15,1,0,26,0,4,6,0,0,13,12,0,0,0,31,22,13,62.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,17,12,11,5,1,11,18,61.1,7,6,3,3,13,30,39,1,68,26.0,7,84,6,2,12,11,1.89,10,10,0,0.00,-0.99,10.9,8.6,+2.3,+0.35,-0.42,410,56,199,194,19,1,410,3,1,33.3,2,66.7,200,756,403,2,0,0,2,2,234,3
8,Ali Abdi,TUN,DF,Nice,Ligue 1,31,1993,18,11,942,10.5,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.6,27,29,59,0.19,0.19,0.38,0.19,0.38,0.11,0.13,0.24,0.11,0.24,10.5,29,2.77,20,3,3,2,0,1,2,0.19,1,1,0,0,0,0,333,450,74.0,5186,1777,175,208,84.1,128,169,75.7,19,41,46.3,2,1.4,1.2,+0.6,13,11,13,3,29,0,16,9,2,26,11,16,0,0,0,45,13,10,56.5,2,16,5,31.3,1.53,0.48,0.13,0.40,19.8,0,0,0,0.07,+0.8,+0.8,25,16,10,9,6,19,31,61.3,12,17,4,13,11,36,28,0,52,40.3,11,79,5,7,10,0,1.83,17,9,+8,+0.76,+0.06,17.6,10.8,+6.8,+0.65,-0.01,584,39,169,232,187,30,584,16,7,43.8,9,56.3,239,1156,648,27,9,8,20,10,321,59
9,Saud Abdulhamid,KSA,DF,Roma,Serie A,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.00,0.44,0.44,0.00,0.44,0.01,0.08,0.09,0.01,0.09,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,1,0.2,0.2,+0.8,2,4,4,2,9,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0,0,1,0,0.0,0.44,0.00,0.00,0,24.7,0,0,0,0.03,0.0,0.0,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,51,7.9,2,62,0,2,41,23,1.50,4,1,+3,+1.32,+0.91,3.6,1.5,+2.1,+0.92,+0.62,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26
