Index,Joueur,Age,Equipe,Position,Ligue,Matchs joues,Titularisations,Minutes jouees,Nombre de matchs de 90 minutes,Buts,Passes decisives,Buts + Passes decisives,Buts hors penalty,Penaltys marques,Penaltys tentes,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG),Passes decisives attendues (xAG),Somme des buts et passes attendus hors penalty,Courses progressives,Passes progressives,Receptions progressives,Buts par 90 minutes,Passes decisives par 90 minutes,Buts + Passes par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes decisives attendues par 90 minutes,Buts et passes attendus par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des contributions attendues par 90 minutes,Matchs de 90 minutes,Actions menant a un tir,Actions menant a un tir par 90 minutes,Actions menant a un tir via passe,Actions menant a un tir via passe arretee,Actions menant a un tir via dribble reussi,Actions menant a un tir via une tentative de tir,Actions menant a un tir via une faute subie,Actions menant a un tir via action d�fensive,Actions menant a un but,Actions menant a un but par 90 minutes,Actions menant a un but via passe,Actions menant a un but via passe arretee,Actions menant a un but via dribble reussi,Actions menant a un but via une tentative de tir,Actions menant a un but via une faute subie,Actions menant a un but via action defensive,Passes reussies,Passes tentees,Pourcentage de passes reussies,Distance totale des passes,Distance progressive des passes,Passes courtes reussies,Passes courtes tentees,Pourcentage de passes courtes reussies,Passes moyennes reussies,Passes moyennes tentees,Pourcentage de passes moyennes reussies,Passes longues reussies,Passes longues tentees,Pourcentage de passes longues reussies,Difference entre passes et passes attendues,Passes cles,Passes dans le dernier tiers,Passes dans la surface de r�paration,Centres dans la surface,Passes progressives.1,Deuxi�me carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentes,Interceptions,Tacles reussis,Penaltys obtenus,Penaltys concedes,Buts contre son camp,Ballons recuperes,Duels aeriens gagnes,Duels aeriens perdus,Pourcentage de duels aeriens gagnes,Tirs,Tirs cadres,Pourcentage de tirs cadres,Tirs par 90 minutes,Tirs cadres par 90 minutes,Buts par tir,Buts par tir cadre,Distance moyenne des tirs,Coups francs tentes,Penaltys marques.1,Penaltys tentes.1,Buts attendus hors penalty par tir,Difference entre buts marques et attendus,Difference entre buts hors penalty marques et attendus,Tacles,Tacles reussis.1,Tacles dans le tiers d�fensif,Tacles dans le tiers median,Tacles dans le tiers offensif,Duels defensifs gagnes,Duels defensifs tentes,Pourcentage de duels gagnes,Duels perdus,Contres,Tirs contres,Passes bloquees,Interceptions.1,Total tacles + interceptions,Degagements,Erreurs menant a un tir,Minutes par match joue,Pourcentage de minutes jouees,Titularisations.1,Minutes par titularisation,Matchs complets,Remplacements,Minutes par entree en jeu,Matchs non joues,Points par match,Succes d equipe buts marques,Succes d equipe buts concedes,Succes d'�quipe �,Succes d equipe +/-90,Succes d equipe On-Off,Succes d equipe (xG) buts attendus marques,Succes d equipe (xG) buts attendus concedes,Succes d equipe (xG) difference xG (xG+/-),Succes d equipe (xG) difference xG par 90 minutes (xG+/-90),Succes d equipe (xG) On-Off,Touches de balle,Touches de balle surface defensive,Touches de balle tiers defensif,Touches de balle tiers median,Touches de balle tiers offensif,Touches de balle surface offensive,Touches de balle en jeu,Dribbles tentes,Dribbles reussis,Pourcentage de dribbles reussis,Dribbles arretes par l adversaire,Pourcentage de dribbles arretes,Portees de balle,Distance totale des portees de balle,Distance progressive des portees de balle,Portees progressives,Portees dans le dernier tiers,Portees jusqu a la surface de reparation
0,Max Aarons,25,Bournemouth,Défenseur,Premier League,3,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,79,887,361,21,25,84,24,29,82,4,7,57,0,0,8,0,0,8,0,0,2,0,2,1,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,1,100,0,3,1,2,1,3,0,0,29,4,1,61,0,2,13,11,0,2,0,2,2,1,2,0,2,2,1,73,2,19,40,15,0,73,2,0,0,1,50,41,152,68,1,0,0
1,Max Aarons,25,Valencia,Milieu,La Liga,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,77,222,48,6,7,85,6,9,66,1,1,100,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,100,0,1,0,1,0,1,0,0,31,1,0,0,0,1,31,3,0,0,2,-2,-5,-5,0,0,0,1,1,24,0,4,4,16,0,24,2,1,50,0,0,10,28,10,0,0,0
2,Rodrigo Abajas,21,Valencia,Défenseur,La Liga,1,1,65,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,58,268,110,11,14,78,4,7,57,2,7,28,0,0,0,0,0,2,0,2,0,1,1,1,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,24,0,0,0,0,0,0,3,2,2,1,0,3,3,100,0,1,0,1,1,4,0,0,65,3,1,65,0,0,0,8,0,1,2,-1,-1,0,1,0,0,0,1,36,1,8,19,9,1,36,1,1,100,0,0,13,101,67,3,2,1
3,James Abankwah,21,Udinese,Défenseur,Serie A,6,0,88,1,0,0,0,0,0,0,1,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,46,78,614,206,13,15,86,18,21,85,3,8,37,0,0,2,0,0,4,0,4,3,0,0,1,2,0,0,0,7,2,2,50,1,0,0,1,0,0,0,15,0,0,0,0,0,0,4,2,4,0,0,2,3,66,1,2,1,1,1,5,3,0,15,4,0,0,0,6,15,12,1,2,0,2,2,2,0,1,0,0,0,65,8,37,22,7,2,65,0,0,0,0,0,29,219,165,3,1,1
4,Keyliane Abdallah,18,Marseille,Attaquant,Ligue 1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,41,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0,3,0,0,0,0,1,3,7,3,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,4,0,0,0,0,0,1,10,9,1,0,0
5,Yunis Abdelhamid,37,Saint-Étienne,Défenseur,Ligue 1,12,11,976,10,0,0,0,0,0,0,2,0,0,0,0,0,4,22,3,0,0,0,0,0,0,0,0,0,0,10,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,432,498,86,7860,2367,145,157,92,259,283,91,23,48,47,0,2,27,0,0,22,0,16,6,0,0,13,11,0,0,0,42,19,8,70,2,1,50,0,0,0,0,10,0,0,0,0,0,0,17,11,15,2,0,10,16,62,6,24,17,7,13,30,56,1,81,51,11,85,9,1,40,8,0,4,31,-27,-2,-2,8,26,-18,-1,-1,630,124,405,213,14,7,630,6,3,50,3,50,319,1723,837,4,1,0
6,Himad Abdelli,25,Angers,Milieu,Ligue 1,21,21,1862,20,4,1,5,2,2,3,2,0,4,1,2,4,78,146,87,0,0,0,0,0,0,0,0,0,0,20,64,3,55,2,2,1,2,2,2,0,1,0,1,0,0,0,959,1170,82,14535,3923,516,583,88,355,409,86,49,101,48,-1,29,112,27,1,146,0,33,25,2,36,16,23,0,0,0,116,10,15,40,20,5,25,0,0,0,0,24,0,2,3,0,0,0,32,23,8,13,11,11,30,36,19,11,0,11,16,48,16,1,89,98,21,89,16,0,0,0,1,19,31,-12,0,-10,21,31,-10,0,-8,1374,18,180,780,438,38,1371,84,39,46,43,51,813,5199,2979,78,59,16
7,Mohamed Abdelmoneim,26,Nice,Défenseur,Ligue 1,9,7,609,6,0,0,0,0,0,0,2,0,0,0,0,0,2,26,3,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,291,332,87,5339,1686,105,115,91,160,175,91,19,32,59,0,0,15,1,0,26,0,4,6,0,0,13,12,0,0,0,31,22,13,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,11,5,1,11,18,61,7,6,3,3,13,30,39,1,68,32,7,84,6,2,12,6,1,10,10,0,0,-1,10,8,2,0,0,410,56,199,194,19,1,410,3,1,33,2,66,200,756,403,2,0,0
8,Ali Abdi,31,Nice,Défenseur,Ligue 1,13,9,808,9,2,2,4,2,0,0,1,0,1,1,1,2,23,27,56,0,0,0,0,0,0,0,0,0,0,9,26,2,17,3,3,2,0,1,2,0,1,1,0,0,0,0,274,376,72,4286,1526,140,171,81,108,142,76,16,34,47,0,12,10,11,2,27,0,13,5,2,23,9,16,0,0,0,41,13,10,56,16,5,31,1,0,0,0,19,0,0,0,0,0,0,24,16,10,8,6,19,27,70,8,14,4,10,9,33,26,0,62,42,9,83,5,4,15,0,1,14,7,7,0,0,15,9,6,0,0,488,35,142,189,161,27,488,15,7,46,8,53,198,978,567,23,9,8
9,Saud Abdulhamid,25,Roma,Défenseur,Serie A,3,1,142,1,0,1,1,0,0,0,0,0,0,0,0,0,4,6,18,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,77,86,89,1142,226,44,47,93,31,33,93,1,3,33,0,1,3,2,1,6,0,1,4,0,4,1,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,2,1,1,0,1,1,1,100,0,1,0,1,1,3,0,0,47,6,1,61,0,2,41,19,1,3,1,2,1,1,1,1,0,0,0,97,0,18,45,35,3,97,5,2,40,1,20,62,274,119,4,0,1
